Timestamp (PST) DS	Station Abbrev. DS	Station ID DS	Chla (ug/L) DS	Chla Rmk DS	Pheophytin (ug/L) DS	Pheophytin Rmk DS	5 micron Chla (ug/L) DS	5 micron Chla Rmk DS	5 micron Pheophytin (ug/L) DS	5 micron Pheophytin Rmk DS	NH4 (mg-N/L) DS lab reported	NH4 Rmk DS	NO2 (mg-N/L) DS lab reported	NO2 Rmk DS	NO2 + NO3 (mg-N/L) DS lab reported	NO2 + NO3 Rmk DS	PO4 (mg-P/L) DS lab reported	PO4 Rmk DS	TDN (mg-N/L) DS lab reported	TDN Rmk DS	TDP (mg-P/L) DS lab reported	TDP Rmk DS	NH4 (uM) DS	NO2 (uM) DS	NO2 + NO3 (uM) DS	PO4 (uM) DS	TDN (uM) DS	TDP (uM) DS	estDIN (uM) DS	estDON (uM) DS	H2O Delta 18O (per mil) DS	H2O Delta 2H (per mil) DS	DOC (mg-C/L) DS	DOC Rmk DS	Peak fDOM (RU) DS	Peak fDOM Rmk DS	UV Slope Ratio DS	UV Slope Ratio Rmk DS	A254 (AU/cm) DS	A254 Rmk DS	A280 (AU/cm) DS	A280 Rmk DS	A370 (AU/cm) DS	A370 Rmk DS	A412 (AU/cm) DS	A412 Rmk DS	A440 (AU/cm) DS	A440 Rmk DS	Sag 275-295 nm DS	Sag 275-295 nm Rmk DS	Sag 290-350 nm DS	Sag 290-350 nm Rmk DS	Sag 350-400 nm DS	Sag 350-400 nm Rmk DS	Sag 412-676 nm DS	Sag 412-676 nm Rmk DS	Peak A (RU) DS	Peak A Rmk DS	Peak B (RU) DS	Peak B Rmk DS	Peak C (RU) DS	Peak C Rmk DS	Peak D (RU) DS	Peak D Rmk DS	Peak M (RU) DS	Peak M Rmk DS	Peak N (RU) DS	Peak N Rmk DS	Peak T (RU) DS	Peak T Rmk DS	FI DS	FI Rmk DS	HIX DS	HIX Rmk DS	Picophytoplankton PC-Rich Sphere Tally DS	Picophytoplankton PC-Rich Sphere Density (cells/mL) DS	Picophytoplankton PC-Rich Sphere Total Biovolume (um3/mL) DS	Picophytoplankton PC-Rich Tally DS	Picophytoplankton PC-Rich Density (cells/mL) DS	Picophytoplankton PC-Rich Total Biovolume (um3/mL) DS	Picophytoplankton PE-Rich Sphere Tally DS	Picophytoplankton PE-Rich Sphere Density (cells/mL) DS	Picophytoplankton PE-Rich Sphere Total Biovolume (um3/mL) DS	Picophytoplankton PE-Rich Tally DS	Picophytoplankton PE-Rich Density (cells/mL) DS	Picophytoplankton PE-Rich Total Biovolume (um3/mL) DS	Picophytoplankton Total Tally DS	Picophytoplankton Total Density (cells/mL) DS	Picophytoplankton Total Biovolume (um3/mL) DS	Picophytoplankton lab comment
05/16/2022 07:40	RYF	11455385	2.5	NA	1.9	NA	2.4	NA	1.1	NA	0.009	<	0.005	NA	0.102	NA	0.024	NA	0.36	NA	0.052	NA	0.32	0.36	7.28	0.77	25.70	1.68	7.60	18.10	NA	NA	NA	NA	0.136	NA	0.1	NA	0.051	NA	0.0362	NA	0.0072	NA	0.0035	E	0.0022	E	0.0183	NA	0.0183	NA	0.0176	NA	0.0144	NA	0.3831	NA	0.0684	NA	0.194	NA	0.0810	NA	0.2114	NA	0.1514	NA	0.1241	NA	1.515	NA	0.7900	<	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
05/16/2022 07:59	1	5/16/2022-01	NA	NA	NA	NA	NA	NA	NA	NA	0.009	<	0.004	NA	0.107	NA	0.035	NA	NA	NA	NA	NA	0.32	0.29	7.64	1.13	NA	NA	7.96	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
05/16/2022 08:05	LIB	11455315	3.3	NA	1.6	NA	2.9	NA	0.7	NA	0.009	<	0.003	E	0.110	NA	0.034	NA	0.30	NA	0.050	NA	0.32	0.21	7.85	1.10	21.42	1.61	8.17	13.24	NA	NA	2.0	NA	0.142	NA	2.6	NA	0.052	NA	0.0379	NA	0.0079	NA	0.0040	E	0.0026	E	0.0180	NA	0.0177	NA	0.0167	NA	0.0139	NA	0.4038	NA	0.0302	NA	0.210	NA	0.0836	NA	0.2159	NA	0.1498	NA	0.1104	NA	1.629	NA	0.8400	<	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
05/16/2022 08:36	LS1	381540121445301	1.5	NA	1.1	NA	0.3	NA	0.4	NA	0.023	E	0.008	NA	0.141	NA	0.103	NA	0.38	NA	0.115	NA	1.64	0.57	10.07	3.32	27.13	3.71	11.71	15.42	NA	NA	2.9	NA	0.220	NA	2.7	NA	0.080	NA	0.0589	NA	0.0123	NA	0.0062	E	0.0039	E	0.0175	NA	0.0176	NA	0.0170	NA	0.0141	NA	0.6342	NA	0.0635	NA	0.316	NA	0.1270	NA	0.3346	NA	0.2552	NA	0.1749	NA	1.507	NA	0.8534	<	299	25000000	64400000	299	25000000	64400000	154	12900000	4920000	154	12900000	4920000	453	38000000	69400000	NA
05/16/2022 09:06	2	5/16/2022-02	NA	NA	NA	NA	NA	NA	NA	NA	0.013	E	0.002	E	0.0635	NA	0.068	NA	NA	NA	NA	NA	0.93	0.14	4.53	2.20	NA	NA	5.46	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
05/16/2022 09:11	3	5/16/2022-03	NA	NA	NA	NA	NA	NA	NA	NA	0.012	E	0.002	E	0.019	NA	0.218	NA	NA	NA	NA	NA	0.86	0.14	1.35	7.04	NA	NA	2.21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
05/16/2022 09:14	SGG	11455276	4.3	NA	1.4	NA	0.5	NA	0.4	NA	0.016	E	0.002	E	0.028	A	0.266	NA	0.40	NA	0.290	NA	1.14	0.14	2.00	8.59	28.56	9.36	3.14	25.41	NA	NA	4.6	NA	0.345	NA	2.8	NA	0.127	NA	0.0946	NA	0.0205	NA	0.0101	NA	0.0064	E	0.0170	NA	0.0172	NA	0.0166	NA	0.0146	NA	0.9297	NA	0.0502	NA	0.487	NA	0.1989	NA	0.5082	NA	0.3747	NA	0.2438	NA	1.565	NA	0.8681	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
05/16/2022 09:40	4	5/16/2022-04	NA	NA	NA	NA	NA	NA	NA	NA	0.013	E	0.001	E	0.021	NA	0.160	NA	NA	NA	NA	NA	0.93	0.07	1.51	5.16	NA	NA	2.44	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
05/16/2022 09:45	SS	382010121402301	1.2	NA	0.9	NA	0.6	NA	0.5	NA	0.013	E	0.001	<	0.012	NA	0.122	NA	0.29	NA	0.166	NA	0.93	0.04	0.86	3.94	20.70	5.36	1.78	18.92	NA	NA	3.5	NA	0.253	NA	2.8	NA	0.097	NA	0.0716	NA	0.0151	NA	0.0075	NA	0.0047	E	0.0176	NA	0.0176	NA	0.0167	NA	0.0146	NA	0.7248	NA	0.0369	NA	0.351	NA	0.1515	NA	0.3786	NA	0.2767	NA	0.2007	NA	1.545	NA	0.8559	<	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
05/16/2022 09:59	5	5/16/2022-05	NA	NA	NA	NA	NA	NA	NA	NA	0.014	E	0.001	<	0.023	NA	0.133	NA	NA	NA	NA	NA	1.00	0.04	1.64	4.29	NA	NA	2.64	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
