Sample ID,Date,Time,Island,Pond,Period,Location,Latitude,Longitude,Water Depth_m,Sample Depth_m,Wind Speed,Wind Direction,Sky,Precipitation,Temperature_C,DO_mgl,DO_saturation,Turbidity,Specific Conductance,Salinity,Chlorophyll_ugl,Chlorophyll_RFU,pH
Bouldin_West_013024,1/30/2024,10:25,Bouldin,West,Before floating wetland,Near floating wetland,38.0992,-121.5416,3.8,1,0-1 -- glassy,North,Partly Cloudy,Dry,13.124,10.85,105,93.05,2657.4,1.38,30.77,7.65,8.95
Bouldin_West_013024,1/30/2024,10:58,Bouldin,West,Before floating wetland,Away from floating wetland,38.0974,-121.5411,3.6,1,0-1 -- glassy,North,Partly Cloudy,Dry,13.222,11.51,112,82.56,2642.1,1.38,34.12,8.39,8.95
Bouldin_West_020824,2/8/2024,9:50,Bouldin,West,Before floating wetland,Near floating wetland,38.0992,-121.5416,3.95,1,0-1 -- glassy,,Partly Cloudy,Dry,11.382,8.21,75.6,76.9,2578,1.34,30.4,7.46,8.83
Bouldin_West_020824,2/8/2024,10:34,Bouldin,West,Before floating wetland,Away from floating wetland,38.0974,-121.5411,3.9,1,0-1 -- glassy,,Partly Cloudy,Dry,11.412,8.21,75.7,72.88,2578.6,1.34,29.88,7.35,8.84
Bouldin_West_021324,2/13/2024,10:00,Bouldin,West,Before floating wetland,Near floating wetland,38.0992,-121.5416,4.1,1,1-5 -- light ripples,South,Clear,Dry,11.6,11.97,112.2,76.34,2556.1,1.33,30.9,8.12,8.93
Bouldin_West_021324,2/13/2024,11:10,Bouldin,West,Before floating wetland,Away from floating wetland,38.0974,-121.5411,3.5,1,1-5 -- light ripples,South,Clear,Dry,11.3,9.6,88.1,81.63,2556.9,1.33,31.2,7.66,8.9
Bouldin_West_031924,3/19/2024,10:30,Bouldin,West,During floating wetland,Near floating wetland,38.0992,-121.5416,4.1,1,1-5 -- light ripples,Northwest,Clear,Dry,15.72,12.47,126.3,77.6,2530.2,1.31,32.21,7.91,9.05
Bouldin_West_031924,3/19/2024,11:29,Bouldin,West,During floating wetland,Away from floating wetland,38.0974,-121.5411,4.1,1,1-5 -- light ripples,Northwest,Clear,Dry,16.536,16.45,171.3,85.8,2531.6,1.31,31.34,7.78,9.12
Bouldin_West_040324,4/3/2024,10:32,Bouldin,West,During floating wetland,Near floating wetland,38.0992,-121.5416,4.1,1,1-5 -- light ripples,Southwest,Clear,Dry,17.18,12.75,134,70.73,2568.3,1.33,25.19,6.11,9.09
Bouldin_West_040324,4/3/2024,11:11,Bouldin,West,During floating wetland,Away from floating wetland,38.0974,-121.5411,4,1,1-5 -- light ripples,Southwest,Clear,Dry,17.631,13.41,142,66.99,2568.9,1.33,24.26,5.93,9.14
Bouldin_West_043024,4/30/2024,9:51,Bouldin,West,During floating wetland,Near floating wetland,38.0992,-121.5416,4,1,1-5 -- light ripples,Northwest,Clear,Dry,17.486,6.74,71.1,77.25,2591.4,1.35,24.1,6.03,8.79
Bouldin_West_043024,4/30/2024,11:33,Bouldin,West,During floating wetland,Away from floating wetland,38.0974,-121.5411,3.8,1,1-5 -- light ripples,Northwest,Clear,Dry,17.908,8.29,88.3,71.13,2518.3,1.31,22.98,5.82,8.94
