Sample ID,Date,Time,Island,Pond,Position,Water Depth_m,Sample Depth_m,Wind Speed,Wind Direction,Sky,Precipitation,Temperature_C,DO_mgl,DO_saturation,Turbidity,Specific Conductance,Salinity,Chlorophyll_ugl,Chlorophyll_RFU,pH
Bouldin_East_111722,11/17/2022,9:50,Bouldin,East,Bottom,4.4,3.9,1-5 -- light ripples,Northwest,Clear,Dry,11.9,7.18,66.6,3.3,1015,0.51,13.9,3.51,7.91
Bouldin_East_111722,11/17/2022,9:52,Bouldin,East,Surface,4.4,0.5,1-5 -- light ripples,Northwest,Clear,Dry,12,6.88,64,3.6,1014,0.51,16.5,4.16,7.9
Bouldin_West_111722,11/17/2022,9:00,Bouldin,West,Bottom,2.9,2.4,1-5 -- light ripples,Northwest,Clear,Dry,10.95,10.7,98.2,65,3631,1.92,50.5,11.66,9
Bouldin_West_111722,11/17/2022,9:02,Bouldin,West,Surface,2.9,0.5,1-5 -- light ripples,Northwest,Clear,Dry,11.07,11.36,104.9,68,3623,1.92,50,12.18,8.99
Bouldin_East_111822,11/18/2022,10:25,Bouldin,East,Surface,4.7,0.5,1-5 -- light ripples,Northwest,Clear,Dry,12.25,7.18,67.2,3.33,1018,0.51,16.68,4.11,7.91
Bouldin_East_111822,11/18/2022,10:27,Bouldin,East,Bottom,4.7,4.2,1-5 -- light ripples,Northwest,Clear,Dry,11.92,6.68,62.2,3.47,1016,0.51,16.3,3.9,7.87
Bouldin_West_111822,11/18/2022,9:02,Bouldin,West,Surface,2.2,0.5,1-5 -- light ripples,Northwest,Clear,Dry,10.93,12.6,115.6,67.79,3623,1.92,46.04,11.22,8.99
Bouldin_West_111822,11/18/2022,9:04,Bouldin,West,Bottom,2.2,1.7,1-5 -- light ripples,Northwest,Clear,Dry,10.87,11.84,108.4,69.46,3623,1.92,46.04,11.42,8.98
Bouldin_East_112322,11/23/2022,14:12,Bouldin,East,Surface,5.1,0.5,0-1 -- glassy,North,Clear,Dry,12.31,7.88,73.4,7.03,952.4,0.47,27.95,6.32,7.46
Bouldin_East_112322,11/23/2022,14:14,Bouldin,East,Bottom,5.1,4.6,0-1 -- glassy,North,Clear,Dry,11.3,5.67,51.9,4.67,1023.5,0.51,15.87,3.75,7.61
Bouldin_West_112322,11/23/2022,13:25,Bouldin,West,Bottom,2.9,2.4,0-1 -- glassy,North,Clear,Dry,10.18,10.34,92.9,65.41,3621.3,1.92,44.95,11.14,8.99
Bouldin_West_112322,11/23/2022,13:23,Bouldin,West,Surface,2.9,0.5,0-1 -- glassy,North,Clear,Dry,10.7,11.13,101.5,66.55,3628.3,1.92,41.6,10.39,9
Bouldin_East_113022,11/30/2022,14:02,Bouldin,East,Surface,5.9,0.5,0-1 -- glassy,,Clear,Dry,11.62,8.34,77.1,3.6,884,0.44,38.77,10.3,7.5
Bouldin_East_113022,11/30/2022,14:04,Bouldin,East,Bottom,5.9,5.4,0-1 -- glassy,,Clear,Dry,10.67,5.74,51.6,19.8,884,0.44,24,5.68,7.34
Bouldin_West_113022,11/30/2022,13:25,Bouldin,West,Surface,2.9,0.5,0-1 -- glassy,,Clear,Dry,10.74,12.38,113.2,70.42,3613.2,1.91,52.02,12.98,9.04
Bouldin_West_113022,11/30/2022,13:27,Bouldin,West,Bottom,2.9,2.4,0-1 -- glassy,,Clear,Dry,9.76,9.76,91.2,68.01,3608.2,1.91,45.43,11.49,9
Bouldin_East_120722,12/7/2022,15:17,Bouldin,East,Surface,6.1,0.5,0-1 -- glassy,,Clear,Dry,10.51,8.86,80.3,3.4,815,0.4,39.93,10.54,7.5
Bouldin_West_120722,12/7/2022,13:32,Bouldin,West,Surface,3,0.5,0-1 -- glassy,,Clear,Dry,9.98,10.1,90.5,74.99,3564,1.88,49.97,12.55,8.98
Bouldin_West_120722,12/7/2022,13:34,Bouldin,West,Bottom,3,2.5,0-1 -- glassy,,Clear,Dry,9.54,8.04,71.4,69.24,3562,1.88,47.85,11.69,8.96
Bouldin_West_120722,12/7/2022,13:52,Bouldin,West,Cage,2.8,0.5,0-1 -- glassy,,Clear,Dry,9.93,9.98,89,80.97,3575,1.89,55.09,13.57,8.99
