Timestamp (PST) DS	Station Abbrev. DS	Station ID DS	NO2 Rmk DS	NO2 (mg-N/L) DS lab reported	NO2 + NO3 Rmk DS	NO2 + NO3 (mg-N/L) DS lab reported	PO4 Rmk DS	PO4 (mg-P/L) DS lab reported	TDN Rmk DS	TDN (mg-N/L) DS lab reported	NH4 Rmk DS	NH4 (mg-N/L) DS lab reported	NO2 (uM) DS	NO2 + NO3 (uM) DS	PO4 (uM) DS	TDN (uM) DS	NH4 (uM) DS	DOC (mg-C/L) DS	Peak fDOM (RU) DS	UV Slope Ratio DS	A254 (AU/cm) DS	A280 (AU/cm) DS	A350 (AU/cm) DS	A370 (AU/cm) DS	A412 (AU/cm) DS	A440 (AU/cm) DS	A488 (AU/cm) DS	A510 (AU/cm) DS	A532 (AU/cm) DS	A555 (AU/cm) DS	Sag 275-295 nm DS	Sag 290-350 nm DS	Sag 350-400 nm DS	Sag 412-600 nm DS	Peak A (RU) DS	Peak B (RU) DS	Peak C (RU) DS	Peak D (RU) DS	Peak M (RU) DS	Peak N (RU) DS	Peak T (RU) DS	FI DS	HIX DS
9/10/2015 8:00	RIOV	11455420		0.030		0.347		0.103		0.755		0.10	2.13	24.786	3.433	46.717	7.100	2.380	0.152	1.033	0.052	0.036	0.010	0.007	0.003	0.002	0.001	0.001	0.001	0.000	0.020	0.019	0.019	0.014	0.395	0.145	0.227	0.080	0.220	0.151	0.122	1.585	0.770
9/10/2015 8:09	SRT6	380702121420201		0.033		0.360		0.102		0.680		0.10	2.36	25.714	3.400	44.848	7.500	2.153	0.157	1.034	0.053	0.037	0.010	0.007	0.003	0.002	0.001	0.001	0.001	0.001	0.019	0.018	0.019	0.014	0.407	0.108	0.227	0.082	0.229	0.157	0.124	1.597	0.792
9/10/2015 8:56	SJRFR	380353121403701		0.012		0.286		0.0950		0.480		0.02	0.87	20.429	3.157	32.272	1.671	2.193	0.172	1.064	0.060	0.043	0.012	0.008	0.004	0.003	0.001	0.001	0.001	0.001	0.019	0.018	0.018	0.013	0.466	0.131	0.252	0.094	0.248	0.177	0.150	1.600	0.800
9/10/2015 9:02	A	11313440		0.010		0.239		0.0937		0.481		0.02	0.69	17.071	3.123	29.611	1.221	2.308	0.177	1.069	0.063	0.045	0.013	0.009	0.004	0.003	0.001	0.001	0.001	0.001	0.020	0.018	0.018	0.013	0.481	0.147	0.256	0.094	0.260	0.184	0.162	1.584	0.790
9/10/2015 9:16	SJRT8	380542121393501		0.015		0.277		0.0930		0.540		0.03	1.09	19.786	3.117	33.099	2.307	2.221	0.170	1.048	0.059	0.042	0.012	0.008	0.004	0.002	0.001	0.001	0.001	0.001	0.020	0.018	0.019	0.014	0.452	0.108	0.246	0.090	0.246	0.171	0.132	1.556	0.802
9/10/2015 9:36	SJRT9	380604121372401		0.019		0.275		0.0870		0.510		0.05	1.33	19.643	2.913	35.916	3.436	2.297	0.171	1.047	0.059	0.042	0.012	0.008	0.004	0.003	0.001	0.001	0.001	0.001	0.020	0.018	0.019	0.013	0.464	0.115	0.249	0.093	0.248	0.169	0.133	1.593	0.803
9/10/2015 9:47	SJRT10	380536121342901		0.020		0.274		0.0910		0.550		0.05	1.43	19.571	3.033	34.021	3.379	2.136	0.167	1.040	0.057	0.041	0.012	0.008	0.004	0.002	0.001	0.001	0.001	0.001	0.019	0.018	0.019	0.014	0.453	0.121	0.247	0.090	0.245	0.169	0.128	1.601	0.815
9/10/2015 10:10	SJT	380433121341501		0.014		0.225		0.0880		0.440		0.04	1.01	16.071	2.930	29.150	2.700	2.199	0.181	1.032	0.062	0.045	0.013	0.009	0.004	0.003	0.001	0.001	0.001	0.001	0.019	0.017	0.019	0.014	0.478	0.173	0.259	0.098	0.259	0.187	0.141	1.577	0.802
9/10/2015 10:36	C	11313440		0.010		0.211		0.0962		0.404	<	0.01	0.68	15.071	3.207	24.339	0.338	2.203	0.178	1.052	0.064	0.045	0.013	0.009	0.004	0.003	0.001	0.001	0.001	0.001	0.019	0.018	0.019	0.014	0.486	0.054	0.261	0.096	0.260	0.169	0.128	1.592	0.835
9/10/2015 12:01	E	380000121373001		0.002		0.061		0.0879		0.281		0.02	0.16	4.357	2.930	17.422	1.179	2.684	0.216	1.045	0.079	0.057	0.017	0.012	0.006	0.004	0.002	0.001	0.001	0.001	0.019	0.017	0.018	0.014	0.588	0.063	0.313	0.119	0.304	0.218	0.152	1.569	0.842
9/10/2015 12:26	ORF	380300121344801		0.009		0.195		0.0920		0.412		0.03	0.67	13.929	3.067	26.567	2.071	2.310	0.195	1.025	0.067	0.048	0.014	0.010	0.005	0.003	0.001	0.001	0.001	0.001	0.019	0.017	0.018	0.014	0.524	0.056	0.287	0.105	0.282	0.187	0.135	1.551	0.847
9/10/2015 12:36	F	11313434		0.010		0.197		0.0871		0.450		0.02	0.73	14.071	2.903	27.766	1.407	2.629	0.221	1.028	0.073	0.052	0.015	0.011	0.005	0.003	0.002	0.001	0.001	0.001	0.019	0.017	0.018	0.014	0.594	0.156	0.322	0.120	0.304	0.207	0.154	1.592	0.833
9/10/2015 12:58	MRH	11312685		0.007		0.179		0.0900		0.394		0.02	0.54	12.786	3.000	26.869	1.586	2.448	0.220	1.023	0.073	0.052	0.015	0.011	0.005	0.003	0.002	0.001	0.001	0.001	0.019	0.017	0.018	0.013	0.602	0.115	0.321	0.121	0.315	0.208	0.157	1.588	0.841
9/10/2015 13:33	H	375627121333701		0.003		0.111		0.0830		0.310		0.01	0.24	7.929	2.780	23.268	0.807	2.802	0.239	1.031	0.082	0.060	0.017	0.012	0.006	0.004	0.002	0.002	0.001	0.001	0.019	0.018	0.018	0.013	0.648	0.166	0.348	0.127	0.333	0.239	0.180	1.566	0.834
9/10/2015 13:53	I	11313431		0.005		0.138		0.0919		0.367		0.02	0.38	9.857	3.063	22.140	1.329	2.588	0.226	1.038	0.077	0.056	0.016	0.012	0.006	0.004	0.002	0.001	0.001	0.001	0.019	0.017	0.018	0.013	0.616	0.132	0.330	0.126	0.315	0.222	0.161	1.553	0.845
9/10/2015 14:15	I	11313431		0.023		0.263		0.0866		0.547		0.06	1.62	18.786	2.887	34.784	4.271	2.260	0.170	1.064	0.060	0.043	0.012	0.009	0.004	0.003	0.001	0.001	0.001	0.001	0.019	0.017	0.018	0.013	0.456	0.343	0.252	0.093	0.252	0.172	0.160	1.574	0.766
9/14/2015 8:00	RIOV	11455420		0.025		0.371		0.107		0.628		0.07	1.81	26.500	3.567	38.364	4.736	2.000	0.169	1.029	0.055	0.039	0.011	0.008	0.004	0.002	0.001	0.001	0.001	0.000	0.019	0.018	0.019	0.016	0.445	0.066	0.242	0.086	0.237	0.158	0.103	1.587	0.862
9/14/2015 8:54	A	11313440		0.010		0.304		0.0967		0.510		0.02	0.68	21.714	3.223	28.068	1.279	2.103	0.184	1.050	0.061	0.044	0.012	0.009	0.004	0.003	0.001	0.001	0.001	0.000	0.019	0.018	0.018	0.016	0.483	0.072	0.262	0.096	0.264	0.183	0.130	1.620	0.860
9/14/2015 9:20	C	11313440		0.008		0.267		0.0950		0.465		0.02	0.59	19.071	3.167	26.752	1.257	2.163	0.186	1.043	0.062	0.044	0.012	0.009	0.004	0.003	0.001	0.001	0.001	0.001	0.019	0.018	0.018	0.015	0.497	0.039	0.264	0.095	0.267	0.179	0.115	1.596	0.869
9/14/2015 9:45	SJT	380433121341501		0.020		0.280		0.0930		0.550		0.06	1.41	20.000	3.087	33.501	4.421	2.073	0.182	1.020	0.058	0.042	0.012	0.008	0.004	0.002	0.001	0.001	0.001	0.000	0.019	0.017	0.019	0.016	0.475	0.087	0.260	0.095	0.252	0.168	0.117	1.586	0.857
9/14/2015 10:04	ORF	380300121344801		0.008		0.166		0.0913		0.377		0.03	0.54	11.857	3.043	24.208	2.243	2.366	0.211	1.049	0.069	0.050	0.015	0.010	0.005	0.003	0.002	0.001	0.001	0.001	0.019	0.017	0.018	0.014	0.550	0.067	0.301	0.111	0.294	0.201	0.128	1.623	0.870
9/14/2015 10:27	E	380000121373001		0.004		0.099		0.0922		0.335		0.02	0.28	7.071	3.073	20.495	1.664	2.640	0.228	1.051	0.076	0.055	0.016	0.011	0.005	0.003	0.002	0.001	0.001	0.001	0.019	0.017	0.018	0.014	0.593	0.046	0.317	0.119	0.307	0.214	0.134	1.612	0.871
