Timestamp (PST),"Latitude (Decimal Degrees, NAD83)","Longitude (Decimal Degrees, NAD83)",NH4 (µM) (Tline) HR,NO3 (µM) (SUNA) HR ,estDIN (?M) HR,estTDN (?M) HR,Cond (µS/cm) (TSG) HR,DO (%sat) (EXO) HR,DO (mg/L) (EXO) HR,fDOM (QSU) (EXO) HR,fDOM (QSU) (WS) HR,estDOC (mg/L) HR,estDON (?M) HR,pH (EXO) HR,pH (mV) (EXO) HR,Salinity (PSU) (TSG) HR,Sp Cond (µS/cm) (EXO) HR,Temp (°C) (EXO) HR,Temp (°C) (TSG) HR,Turb (FNU) (EXO) HR,C (1/m) (CStar) HR,Tr (%) (CStar) HR,fCHL (µg/L) (EXO) HR,fCHL (µg/L) (WS) HR,Total Chl Conc (µg/L) (FP) HR,Bluegreen Algae (µg/L) (FP) HR,Bluegreen Algae (%) (FP) HR,Cryptophyta (µg/L) (FP) HR,Cryptophyta (%) (FP) HR,Diatoms (µg/L) (FP) HR,Diatoms (%) (FP) HR,Green Algae (µg/L) (FP) HR,Green Algae (%) (FP) HR,Transmission (%) (FP) HR,Yellow substances (µg/L) (FP) HR,Temp (°C) (FP) HR,H2O Delta 18O (‰) (Picarro) HR,H2O Delta 2H (‰) (Picarro) HR,E/I HR,? (days) HR,doi
10/16/2018 9:19,38.29173,-121.63342,,12.057,,,115.1,88.225,8.55,15.6,17.073,1.589,7.598,7.64,-41.885,0.067,141.465,16.86,16.864,2.325,2.148,0.807,0.282,1.173,0.58,0.35,66.038,0,0,0.17,32.075,0.01,1.887,100,0.89,16.45,-10.429,-76.453,0.024,8,10.5066/P951HXFE
10/16/2018 9:19,38.29173,-121.6334,,12.028,,,115.1,88.235,8.55,15.591,17.073,1.589,7.598,7.64,-41.895,0.067,141.465,16.86,16.864,2.325,2.143,0.807,0.282,1.164,0.58,0.35,66.038,0,0,0.17,32.075,0.01,1.887,100,0.89,16.45,-10.429,-76.453,0.024,8,
10/16/2018 9:19,38.291735,-121.633385,,12.004,,,115.1,88.245,8.55,15.581,17.055,1.588,7.592,7.64,-41.905,0.067,141.465,16.86,16.864,2.325,2.137,0.808,0.282,1.164,0.61,0.35,64.815,0,0,0.19,35.185,0,0,100,0.88,16.46,-10.443,-76.593,0.024,7.729,
10/16/2018 9:19,38.29174,-121.63337,,11.989,,,115.1,88.255,8.55,15.576,17.055,1.588,7.592,7.64,-41.92,0.067,141.465,16.86,16.864,2.325,2.135,0.808,0.282,1.164,0.61,0.35,64.815,0,0,0.19,35.185,0,0,100,0.88,16.46,-10.443,-76.593,0.024,7.729,
10/16/2018 9:19,38.29174,-121.633355,,11.989,,,115.1,88.27,8.55,15.567,17.073,1.589,7.598,7.64,-41.935,0.067,141.465,16.86,16.866,2.325,2.132,0.808,0.282,1.164,0.605,0.335,63.81,0,0,0.17,32.381,0.02,3.81,100,0.885,16.455,-10.443,-76.593,0.024,7.729,
10/16/2018 9:19,38.291745,-121.63335,,11.979,,,115.1,88.285,8.55,15.552,17.073,1.589,7.598,7.64,-41.945,0.067,141.465,16.86,16.867,2.32,2.126,0.808,0.282,1.158,0.61,0.32,62.745,0,0,0.19,37.255,0,0,100,0.88,16.45,-10.443,-76.593,0.024,7.729,
10/16/2018 9:19,38.29175,-121.63334,,11.975,,,115.1,88.295,8.555,15.542,17.055,1.588,7.592,7.64,-41.96,0.067,141.465,16.865,16.869,2.32,2.121,0.809,0.291,1.161,0.61,0.32,62.745,0,0,0.19,37.255,0,0,100,0.88,16.45,-10.446,-76.722,0.023,7.512,
10/16/2018 9:19,38.291755,-121.63333,,11.975,,,115.1,88.305,8.56,15.537,17.039,1.587,7.586,7.64,-41.975,0.067,141.465,16.87,16.871,2.315,2.12,0.809,0.324,1.161,0.605,0.335,62.617,0,0,0.2,37.383,0,0,100,0.88,16.45,-10.446,-76.722,0.023,7.512,
10/16/2018 9:19,38.29176,-121.63332,,11.97,,,115.1,88.32,8.56,15.533,17.039,1.587,7.586,7.64,-41.985,0.067,139.07,16.87,16.872,2.31,2.119,0.809,0.338,1.161,0.6,0.32,60.377,0,0,0.21,39.623,0,0,100,0.88,16.45,-10.449,-76.851,0.023,7.322,
10/16/2018 9:19,38.291765,-121.6333,,11.97,,,115.1,88.34,8.56,15.529,17.039,1.587,7.586,7.64,-41.995,0.067,136.375,16.87,16.872,2.31,2.119,0.809,0.351,1.161,0.6,0.32,60.377,0,0,0.21,39.623,0,0,100,0.88,16.45,-10.449,-76.851,0.023,7.322,
