Station_Number,Latitude_degree,Longitude_degree,Comments
2,38.063333,-121.851667,
3,38.051667,-121.88,
4,38.048333,-121.935,
5,38.06,-121.98,
6,38.065,-122.035,
7,38.048333,-122.096667,
8,38.03,-122.151667,
9,38.056667,-122.185,
10,38.06,-122.208333,
11,38.06,-122.266667,
12,38.051667,-122.311667,
13,38.028333,-122.37,
14,38.006667,-122.405,
15,37.973333,-122.436667,
16,37.916667,-122.446667,
17,37.878333,-122.421667,
18,37.846667,-122.421667,
20,37.82,-122.393333,
21,37.788333,-122.358333,
22,37.765,-122.358333,
23,37.728333,-122.336667,
24,37.698333,-122.338333,
25,37.67,-122.325,
26,37.636667,-122.313333,
27,37.618333,-122.291667,
28,37.601667,-122.27,
29,37.58,-122.245,
29.5,37.568333,-122.21833,
30,37.555,-122.19,
31,37.528333,-122.158333,
32,37.518333,-122.133333,
33,37.508333,-122.121667,
34,37.495,-122.093333,location 1/21/2016 
34,37.495,-122.098333,location 2/2/2016 and after
35,37.48,-122.078333,
36,37.471667,-122.066667,
649,38.06,-121.8,
653,38.105,-121.72,
657,38.151667,-121.688333,
