Station ID,Station Name,State ,Date,Time,Sample Type,Data qualifiers for Total  microcystins plus nodularins,Total microcystins plus nodularins (ug/L),Data qualifiers for Total cylindrospermopsins,Total cylindrospermopsins (ug/L),Data qualifiers for Total saxitoxins,Total saxitoxins (ug/L),Data qualifiers for Anatoxin-a (method IMM24),Anatoxin-a (method IMM24) (ug/L),Chlorophyll-a (ug/L),Pheophytin-a (ug/L),Data qualifiers for Anatoxin-a gene anaC,Anatoxin-a gene anaC (cp/100 mL),Data qualifiers for Saxitoxin gene sxtA,Saxitoxin gene sxtA (cp/100 mL),Data qualifiers for Cylindrospermopsin gene cyrA,Cylindrospermopsin gene cyrA (cp/100 mL),Data qualifiers for Microcystis mcyE toxin gene,Microcystis mcyE toxin gene (cp/100 mL),Data qualifiers for  Dolichospermum mcyE toxin gene, Dolichospermum mcyE toxin gene (cp/100 mL) ,Data qualifiers for Planktothrix mcyE toxin gene,Planktothrix mcyE toxin gene (cp/100 mL),Data qualifiers for Anatoxin-a (method LCM78),Anatoxin-a (method LCM78) (ug/L),Data qualifiers for Cylindrospermopsin,Cylindrospermopsin (ug/L),Data qualifiers for Domoic acid,Domoic acid (ug/L),Data qualifiers for Microcystin-HiLR,Microcystin-HiLR (ug/L),Data qualifiers for Microcystin-HtYR,Microcystin- HtYR (ug/L),Data qualifiers for Microcystin-LA,Microcystin-LA (ug/L),Data qualifiers for Microcystin-LF,Microcystin-LF (ug/L),Data qualifiers for Microcystin-LR,Microcystin-LR (ug/L),Data qualifiers for Microcystin-LW,Microcystin-LW (ug/L),Data qualifiers for Microcystin-LY,Microcystin-LY (ug/L),Data qualifiers for Microcystin-RR,Microcystin-RR (ug/L),Data qualifiers for Microcystin-WR,Microcystin-WR (ug/L),Data qualifiers for Microcystin-YR,Microcystin-YR (ug/L),Data qualifiers for Nodularin,Nodularin (ug/L)
01184000,"Connecticut River at Thompsonville, CT",CT,6/12/2017,10:20,Regular,<,0.10,<,0.05,<,0.02,<,0.15,0.70,0.80,<,960,<,420,<,930,<,390,<,"1,400",<,"1,500",,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM
01184000,"Connecticut River at Thompsonville, CT",CT,6/26/2017,9:30,Regular,<,0.10,<,0.05,<,0.02,<,0.15,1.90,1.00,<,"1,400",<,600,<,"1,300",<,560,<,"2,000",<,"2,200",,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM
01184000,"Connecticut River at Thompsonville, CT",CT,7/12/2017,9:40,Regular,<,0.10,<,0.05,<,0.02,<,0.15,1.00,0.40,<,960,<,420,<,930,<,390,<,"1,400",<,"1,500",,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM
01184000,"Connecticut River at Thompsonville, CT",CT,7/25/2017,9:00,Regular,<,0.10,<,0.05,<,0.02,<,0.15,3.30,1.30,<,"1,300",<,560,<,"1,200",<,520,<,"1,800",<,"2,000",,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM
01184000,"Connecticut River at Thompsonville, CT",CT,8/8/2017,8:40,Regular,<,0.10,<,0.05,<,0.02,<,0.15,1.80,1.40,<,"1,900",<,840,<,"1,900",<,780,<,"2,800",<,"3,100",<,0.08,<,0.10,<,0.10,<,0.10,<,0.10,<,0.10,<,0.10,<,0.10,<,0.10,<,0.10,<,0.08,<,0.30,<,0.10,<,0.05
01184000,"Connecticut River at Thompsonville, CT",CT,8/22/2017,10:30,Regular,<,0.10,<,0.05,<,0.02,<,0.15,1.30,0.60,<,960,<,420,<,930,<,390,<,"1,400",<,"1,500",,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM
01184000,"Connecticut River at Thompsonville, CT",CT,8/22/2017,10:31,Field Replicate,<,0.10,<,0.05,<,0.02,<,0.15,1.41,0.76,<,960,<,420,<,930,<,390,<,"1,400",<,"1,500",,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM
01184000,"Connecticut River at Thompsonville, CT",CT,9/7/2017,11:10,Regular,<,0.10,<,0.05,<,0.02,<,0.15,1.20,1.20,<,960,<,420,<,930,<,390,<,"1,400",<,"1,500",,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM
01463500,"Delaware River at Trenton, NJ",NJ,6/15/2017,11:40,Regular,<,0.10,<,0.05,<,0.02,<,0.15,3.30,2.70,<,960,<,420,<,930,<,390,<,"1,400",E,"1,800",,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM
01463500,"Delaware River at Trenton, NJ",NJ,7/13/2017,11:20,Regular,<,0.10,<,0.05,<,0.02,<,0.15,2.10,1.90,<,960,<,420,E,970,<,390,<,"1,400",<,"1,500",,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM
