Station Abbrev. DS,Station ID DS,Timestamp (PST) DS,"Latitude (Decimal Degrees, NAD83)","Longitude (Decimal Degrees, NAD83)",NH4 (µM) DS,NO2 + NO3 (µM) DS,NO2 (µM) DS,PO4 (µM) DS,TDN (µM) DS,Chla (µg/L) DS,Pheophytin (µg/L) DS,5 micron Chla (µg/L) DS,5 micron Pheophytin (µg/L) DS,Phycocyanin (µg/L) DS,Allophycocyanin (µg/L) DS,Phycoerythrin (µg/L) DS,DOC (mg/L) DS,A254 (AU/cm) DS,A280 (AU/cm) DS,A370 (AU/cm) DS,A412 (AU/cm) DS,A440 (AU/cm) DS,Sag 275-295 nm DS,Sag 290-350 nm DS,Sag 350-400 nm DS,Sag 412-600 nm DS,Peak A (RU) DS,Peak B (RU) DS,Peak T (RU) DS,Peak N (RU) DS,Peak M (RU) DS,Peak C (RU) DS,Peak D (RU) DS,fDOM (RU) DS,HIX DS,FI DS,Picocyanobacteria aliquot (mL) DS,Picocyanobacteria PC-Rich Tally DS,Picocyanobacteria PC-Rich Density (cells/L) DS,Picocyanobacteria PE-Rich Tally DS,Picocyanobacteria PE-Rich Density (cells/L) DS,Picocyanobacteria Total Tally DS,Picocyanobacteria Total Density (cells/L) DS
WSPIER,11447540,5/15/2018 7:39,38.56894,-121.51842,,,,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MILE55,383225121304601,5/15/2018 7:43,38.55915,-121.51684,,,,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWH,383155121314101,5/15/2018 7:54,38.53141,-121.52930,,,,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWH,383155121314101,5/15/2018 7:59,38.51620,-121.54312,,,,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USFPT,382740121301201,5/15/2018 8:05,38.48794,-121.55246,,,,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USFPT,382740121301201,5/15/2018 8:52,38.47401,-121.53250,,,,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USFPT,382740121301201,5/15/2018 9:00,38.45622,-121.50223,0.82,3.03,0.09,0.86,7.85,5.24,2.88,4.38,1.76,16.09,2.13,0.00,1.56,0.043,0.031,0.007,0.003,0.002,0.019,0.017,0.018,0.011,0.297,0.250,0.120,0.118,0.158,0.162,0.057,0.112,0.744,1.564,5,102,8726946,200,17111660,302,25838606
DSFPT,382702121300501,5/15/2018 9:15,38.45060,-121.50150,117.79,,,4.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MILE 44,382605121310401,5/15/2018 9:22,38.43488,-121.51739,41.26,,,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MILE 44,382605121310401,5/15/2018 9:27,38.41808,-121.52379,60.22,,,2.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOOD,382205121311300,5/15/2018 9:40,38.36784,-121.52132,46.50,4.97,0.45,2.38,61.40,5.50,2.92,,,0.00,0.00,0.00,1.86,0.048,0.035,0.007,0.003,0.002,0.019,0.017,0.019,0.014,0.387,0.236,0.130,0.149,0.197,0.220,0.078,0.151,0.769,1.732,,,,,,,
SNOD,11447800,5/15/2018 9:50,38.34689,-121.54118,53.15,,,2.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREENS,11447810,5/15/2018 9:54,38.33544,-121.56796,40.71,,,2.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURTLAND,381756121340200,5/15/2018 10:00,38.30569,-121.57392,44.32,,,3.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MILE30,381703121331101,5/15/2018 10:06,38.28253,-121.55013,60.04,,,3.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WGA,11447890,5/15/2018 10:15,38.25778,-121.51722,60.54,7.82,0.84,3.36,84.24,6.14,3.34,5.38,2.22,116.25,20.35,0.00,1.93,0.048,0.034,0.007,0.004,0.002,0.019,0.017,0.019,0.012,0.386,0.147,0.121,0.143,0.206,0.225,0.075,0.153,0.805,1.726,5,177,12709991,138,9909484,315,22619475
GSL,11447903,5/15/2018 10:38,38.24004,-121.51713,,,,2.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSL,11447903,5/15/2018 10:48,38.22323,-121.54231,,,,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSL,11447903,5/15/2018 10:56,38.20134,-121.54186,,,,2.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSL,11447903,5/15/2018 11:02,38.18246,-121.56995,,,,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSL,11447903,5/15/2018 11:09,38.16194,-121.58468,,,,2.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSL,11447903,5/15/2018 11:25,38.14900,-121.59168,,,,2.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAM,380749121344701,5/15/2018 11:45,38.13012,-121.57953,35.79,11.72,1.21,2.77,58.54,1.60,1.44,,,0.00,0.00,0.00,1.88,0.048,0.034,0.007,0.004,0.002,0.020,0.017,0.019,0.012,0.353,0.448,0.146,0.142,0.195,0.199,0.068,0.131,0.707,1.671,,,,,,,
MOK,11336930,5/15/2018 12:05,38.10780,-121.57172,,,,2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEBB,380433121341501,5/15/2018 12:14,38.08328,-121.57364,,,,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORF,380300121344801,5/15/2018 12:25,38.04335,-121.57552,1.73,17.66,0.29,2.23,35.70,1.83,1.82,0.78,0.89,9.85,3.11,0.00,4.02,0.131,0.094,0.020,0.010,0.006,0.018,0.017,0.019,0.014,1.210,0.264,0.237,0.348,0.562,0.595,0.207,0.390,0.868,1.562,5,363,69510006,0,0,363,69510006
HOL,11313431,5/15/2018 12:42,38.02740,-121.58380,,,,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOL,11313431,5/15/2018 12:48,37.99446,-121.57999,,,,2.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,11313405,5/15/2018 12:55,37.96756,-121.57324,1.90,18.24,0.30,2.49,39.98,1.92,1.61,,,4.16,0.00,0.00,4.57,0.150,0.108,0.023,0.011,0.007,0.017,0.017,0.019,0.014,1.409,0.123,0.248,0.412,0.663,0.701,0.247,0.459,0.890,1.562,,,,,,,
HNB,375627121333701,5/15/2018 13:18,37.94539,-121.55759,,,,2.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORI,11313325,5/15/2018 13:30,37.91315,-121.56391,3.56,24.10,0.38,2.90,48.55,1.68,2.13,0.86,1.05,6.24,0.00,0.00,4.60,0.147,0.106,0.023,0.011,0.007,0.018,0.017,0.019,0.014,1.443,0.240,0.262,0.430,0.679,0.712,0.253,0.467,0.878,1.547,6,306,25635405,8,670207,314,26305612
ORB,11313315,5/15/2018 13:46,37.89316,-121.56765,,,,3.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
