CL ID,"Time Period (Month, Year)","Latitude (Decimal Degrees, NAD83)","Longitude (Decimal Degrees, NAD83)",Grouping,NH4 (μM) DIFF,NO3 (μM) DIFF,PO4 (μM) DIFF,DIN (μM) DIFF,TDN (μM) DIFF
173,July-Oct,37.825015,-121.551627,West Canal,-0.88,-15.75,-0.14,-16.63,-13.66
174,July-Oct,37.826423,-121.551473,West Canal,-0.84,-17.4,-0.15,-18.24,-15.09
175,July-Oct,37.827776,-121.552114,West Canal,-0.88,-16,-0.14,-16.87,-13.85
176,July-Oct,37.829189,-121.552497,West Canal,-0.82,-17.34,-0.16,-18.17,-14.99
177,July-Oct,37.830075,-121.552163,Coney Island,-0.82,-17.34,-0.16,-18.17,-14.99
178,July-Oct,37.830688,-121.550506,Coney Island,-0.71,-20.96,-0.18,-21.67,-18.12
179,July-Oct,37.831436,-121.548954,Coney Island,-0.69,-23.23,-0.2,-23.92,-20.18
180,July-Oct,37.83215,-121.547375,Coney Island,-0.66,-23.88,-0.22,-24.54,-20.76
181,July-Oct,37.832363,-121.545568,Coney Island,-0.63,-24.13,-0.24,-24.76,-21
182,July-Oct,37.83277,-121.543822,Coney Island,-0.65,-23.89,-0.25,-24.54,-20.83
183,July-Oct,37.833608,-121.542355,Coney Island,-0.65,-23.35,-0.26,-24,-20.44
184,July-Oct,37.834975,-121.541822,Coney Island,-0.68,-23.18,-0.26,-23.85,-20.36
185,July-Oct,37.836112,-121.54081,Coney Island,-0.73,-22.8,-0.27,-23.53,-20.16
186,July-Oct,37.836715,-121.539156,Coney Island,-0.74,-22.45,-0.28,-23.19,-19.98
187,July-Oct,37.837778,-121.537966,Coney Island,-0.74,-22.45,-0.28,-23.19,-19.98
188,July-Oct,37.839044,-121.538742,Coney Island,-0.73,-22.45,-0.29,-23.18,-19.97
189,July-Oct,37.840348,-121.538466,Coney Island,-0.73,-22.45,-0.29,-23.18,-19.97
190,July-Oct,37.841686,-121.538033,Coney Island,-0.72,-22.52,-0.31,-23.23,-19.97
191,July-Oct,37.843075,-121.537933,Coney Island,-0.7,-22.64,-0.32,-23.35,-19.96
192,July-Oct,37.844312,-121.536978,Coney Island,-0.68,-22.62,-0.32,-23.3,-19.93
193,July-Oct,37.845598,-121.537451,Coney Island,-0.7,-22.81,-0.34,-23.51,-19.95
194,July-Oct,37.846637,-121.538715,Coney Island,-0.75,-23.25,-0.38,-24,-20.24
195,July-Oct,37.847668,-121.539991,Coney Island,-0.78,-23.48,-0.39,-24.26,-20.45
196,July-Oct,37.848898,-121.540887,Coney Island,-0.83,-24.07,-0.43,-24.89,-20.92
197,July-Oct,37.850172,-121.541643,Coney Island,-0.83,-24.07,-0.43,-24.89,-20.92
198,July-Oct,37.851136,-121.543002,Coney Island,-0.92,-24.99,-0.5,-25.92,-21.83
199,July-Oct,37.852004,-121.544466,Coney Island,-0.96,-25.23,-0.53,-26.19,-22.13
200,July-Oct,37.852914,-121.54589,Coney Island,-1.08,-25.71,-0.63,-26.78,-22.97
201,July-Oct,37.85379,-121.547348,Coney Island,-1.08,-25.71,-0.63,-26.78,-22.97
202,July-Oct,37.854717,-121.548752,Coney Island,-1.14,-25.98,-0.74,-27.13,-23.67
203,July-Oct,37.85605,-121.549373,Coney Island,-1.14,-25.98,-0.74,-27.13,-23.67
