CL ID,"Time Period (Month, Year)","Latitude (Decimal Degrees, NAD83)","Longitude (Decimal Degrees, NAD83)",Grouping,NH4 (μM) (Tline) SA,NO3 (μM) (SUNA) SA,Orthophosphate (µM) SA,DIN (µM) SA,estDON (μM) SA,TDN (µM) SA,estDOC (mg/L) SA,NO3:NH4 (mol:mol) SA,NH4:DIN (%) SA,NO3:DIN (%) SA,DIN:PO4 (mol:mol) SA,DON:TDN (%) SA,NH4 Slope (˚) SA,NO3 Slope (˚) SA,PO4 Slope (˚) SA, Cond (μS/cm) (TSG) SA,DO (%) (EXO) SA,DO (mg/L) (EXO) SA,fDOM (QSU) (EXO) SA,pH (EXO) SA, Salinity (PSU) (TSG) SA,Sp Cond (μS/cm) (EXO) SA, Temp (˚C) (TSG) SA,Turb (FNU) (EXO) SA,fCHLA (μg/L) (EXO) SA,Total Conc (μg/L) (FP) SA,Bluegreen (μg/L) (FP) SA,Bluegreen (%) (FP) SA,Cryptophyta (μg/L) (FP) SA,Cryptophyta (%) (FP) SA,Diatoms (μg/L) (FP) SA,Diatoms (%) (FP) SA,Green Algae (μg/L) (FP) SA,Green Algae (%) (FP) SA,Transmission (%) (FP) SA,Yellow Substances (μg/L) SA
173,18-May,37.825015,-121.551627,West Canal,1.97,22.59,2.78,24.6,7.37,31.93,1.7,11.4,8,92,8.8,23.1,0.035,0.042,0.002,169.551,93.8,8.8,17.1,7.42,0.1,189.5,18.4,14.7,1.4,2.4,1.26,51.3,0.09,0,0.49,20.2,0.75,28.5,84.2,1.31
174,18-May,37.826423,-121.551473,West Canal,1.85,22.52,2.79,24.4,7.36,31.73,1.7,12.2,7.6,92.4,8.7,23.2,0.044,0.052,0.002,169.577,94,8.8,17.1,7.42,0.1,190.9,18.4,14.8,1.4,2.5,1.26,50.8,0.09,0,0.49,20.2,0.75,29,84.1,1.31
175,18-May,37.827776,-121.552114,West Canal,1.92,22.44,2.79,24.4,7.37,31.73,1.7,11.7,7.9,92.1,8.7,23.2,0.036,0.054,0.002,169.898,94.2,8.8,17.1,7.42,0.1,192.3,18.4,14.7,1.4,2.5,1.25,50.5,0.09,0,0.5,20.1,0.76,29.4,84.2,1.3
176,18-May,37.829189,-121.552497,West Canal,1.81,22.32,2.79,24.1,7.37,31.5,1.7,12.3,7.5,92.5,8.6,23.4,0.041,0.064,0.003,170.153,94.6,8.9,17.1,7.42,0.1,193.6,18.4,14.8,1.4,2.5,1.26,50,0.09,0,0.5,20,0.77,30.1,84.1,1.3
177,18-May,37.830075,-121.552163,Coney Island,1.81,22.32,2.79,24.1,7.37,31.5,1.7,12.3,7.5,92.5,8.6,23.4,0.041,0.064,0.003,170.153,94.6,8.9,17.1,7.42,0.1,193.6,18.4,14.8,1.4,2.5,1.26,50,0.09,0,0.5,20,0.77,30.1,84.1,1.3
178,18-May,37.830688,-121.550506,Coney Island,1.56,22.31,2.81,23.9,7.34,31.21,1.6,14.3,6.6,93.4,8.5,23.5,0.046,0.069,0.003,170.438,94.6,8.9,17,7.41,0.1,194,18.4,14.8,1.4,2.5,1.26,49.6,0.09,0,0.5,19.9,0.78,30.5,84.1,1.3
179,18-May,37.831436,-121.548954,Coney Island,1.44,22.29,2.82,23.7,7.34,31.06,1.6,15.5,6.1,93.9,8.4,23.6,0.044,0.059,0.004,170.901,95,8.9,17,7.41,0.1,193.7,18.5,14.7,1.4,2.5,1.26,49.5,0.09,0,0.51,20.2,0.79,30.3,84.1,1.31
180,18-May,37.83215,-121.547375,Coney Island,1.31,22.11,2.83,23.4,7.38,30.79,1.7,16.8,5.6,94.4,8.3,24,0.038,0.075,0.004,172.586,95.6,9,17.1,7.42,0.1,194.1,18.5,14.3,1.4,2.6,1.25,48.7,0.09,0,0.53,20.5,0.82,30.8,84.5,1.3
181,18-May,37.832363,-121.545568,Coney Island,1.16,21.87,2.85,23,7.48,30.51,1.7,18.8,5,95,8.1,24.5,0.021,0.098,0.004,175.768,96.3,9,17.4,7.43,0.1,194.5,18.6,13.6,1.4,2.6,1.24,47.7,0.09,0,0.54,20.5,0.89,31.9,85.3,1.28
182,18-May,37.83277,-121.543822,Coney Island,1.14,21.63,2.85,22.8,7.55,30.32,1.7,18.9,5,95,8,24.9,0.022,0.138,0.004,177.926,96.6,9,17.7,7.44,0.1,198.6,18.6,13.2,1.4,2.7,1.24,46.5,0.09,0,0.55,20.5,0.91,33,85.9,1.28
183,18-May,37.833608,-121.542355,Coney Island,1.07,21.38,2.86,22.5,7.64,30.09,1.7,20,4.8,95.2,7.8,25.4,0.02,0.154,0.004,181.006,97,9.1,17.9,7.46,0.1,199.3,18.7,12.5,1.4,2.7,1.23,45.3,0.09,0,0.57,20.5,0.98,34.2,86.8,1.27
184,18-May,37.834975,-121.541822,Coney Island,1.04,21.09,2.87,22.1,7.8,29.93,1.7,20.2,4.7,95.3,7.7,26.1,0.025,0.184,0.004,184.168,97.2,9.1,18.4,7.47,0.1,204.9,18.7,12.2,1.5,2.8,1.23,43.9,0.09,0,0.59,20.7,1.01,35.4,87.3,1.28
