Abbreviation,Description,Detection Range,,,
HR,"High Resolution data collected in situ, see metadata for details",--,,,
DS,"Discrete Sampling, see metadata for details",--,,,
SUNA,Satlantic SUNA V1 or V2 nitrate sensor,--,,,
WS,Wetlabs Wetstar Fluorometers; measures dissolved organic matter (fDOM) and chlorophyll-a (fCHLA),--,,,
CStar ,C Star Instrument; transmittence and beam transmissometer/attenuation at 650 nm,--,,,
TSG,"Seabird Model SB45 Thermosalinograph; measures temperature, conductivity, salinity",--,,,
EXO,"YSI EXO2 Multiprobe Sonde; measures temperature, specific conductance, turbidity, pH, DO, fCHLA, fDOM",--,,,
,,,,,
Parameter,,,,,
"Entity Type Definition: High resolution, in situ, unfiltered, in vivo fluorescence (IVF), water chemistry data from the Sacramento-San Joaquin Delta Study Area. All measurements were collected in the field.",,,,,
Timestamp (PST),"Date and time (YYYY-MM-DD hh:mm:ss), pacific standard time",--,,,
Latitude (Decimal Degrees),"Garmin GPS16X-HVS, WGS 84, decimal degrees",<15 meter accuracy,,,
Longitute (Decimal Degrees),"Garmin GPS16X-HVS, WGS 84, decimal degrees",<15 meter accuracy,,,
NO3 (μM) (SUNA) HR,"Nitrate plus nitrite, micromolar",up to 2000 µM,"y = 1.3683(uncorrected NO3 (μM) (SUNA) HR)  - 2.4418, R² = 0.9265",,
Cond (μS/cm) (TSG) HR,"Conductivity, microsiemens per centimeter",0 to 70 mS/cm,,,
DO (%sat) (EXO) HR,"Dissolved oxygen, percent of saturation",0 - 500%,,,
DO (mg/L) (EXO) HR,"Dissolved oxygen, milligrams per liter",0 - 50 mg/L,,,
fDOM (QSU) (EXO) HR,"Fluorescence of dissolved organic matter, quinine sulfate units (1 QSU = 1 part per billion quininie sulfate); corrected for turbidity and inner filter effects",0 to 300 QSU,,,
fDOM (QSU) (WS) HR,"Fluorescent dissolved organic matter, quinine sulfate equivalents; corrected for temperature, turbidity, and inner filter effect",up to 400 QSU,,,
pH (EXO) HR,"pH, standard units",0 - 14 units,,,
pH (mV) (EXO) HR,"pH, millivolts",-999 - 999 mV,,,
Salinity (PSU) (TSG) HR,"Salinity, practical salinity unit",2-42 PSU,,,
Sp Cond (μS/cm) (EXO) HR,"Specific conductance, microsiemens per centimeter at 25 degrees Celsius",0 - 200 mS/cm,,,
Temp (˚C) (EXO) HR,"Temperature, degrees Celsius",-5 to 50 degC,,,
Temp (˚C) (TSG) HR,"Temperature, degrees Celsius",-5 to 35 degC,,,
Turb (FNU) (EXO) HR,"Turbidity, formazin nephelometric units",0 - 4000 FNU,,,
