Table Names,CL_ID,Latitude,Longitude,Location,Time Period,NO3_μM_SUNA_SA,Cond_μScm_TSG_SA,DOsat_EXO_SA,DO_mg_L_EXO_SA,fDOM_QSU_EXO_SA,Salinity_PSU_TSG_SA,Sp_Cond_μS_cm_EXO_SA,Temp_˚C_TSG_SA,Temp_˚C_EXO_SA,Turb_FNU_EXO_SA,fCHL_μg_L_EXO_SA,fCHL_μg_L_WS_SA,estDOC_mg_L_SA,estDON_μM_SA,pH_SA,fDOM_QSU_WS_SA
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A2318,38.250636,-121.672971,Prospect Slough,09/13/2018,1.838043,243.142,100.2126,9.073574,39.96227,0.1295,266.3555,20.16068,20.1752,5.774906,0.400422,2.594664,3.258156,14.88255,8.616996,42.28344
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A2203,38.29837,-121.659977,Toe Drain Canal,09/13/2018,2.081418,536.3357,90.36936,7.886671,79.5948,0.276941,567.793,21.96006,21.99496,15.40771,2.272222,7.201054,5.826345,25.8568,8.048386,89.46176
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A2201,38.301193,-121.659305,Toe Drain Canal,09/13/2018,2.151312,532.4263,91.74891,8.004437,78.98923,0.274721,563.0123,21.98473,22.02042,15.56974,2.310581,7.306249,5.787102,25.68913,8.067366,88.88277
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A2199,38.304064,-121.65861,Toe Drain Canal,09/13/2018,2.405859,544.2208,91.78585,7.991981,80.24078,0.280365,574.2478,22.08689,22.12312,16.54594,2.537536,7.875473,5.868205,26.03567,8.050833,90.73518
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A2189,38.318316,-121.655234,Toe Drain Canal,09/13/2018,3.122458,537.9499,91.24958,7.949759,79.33871,0.277096,567.5539,22.07421,22.10485,18.6773,3.108674,9.033549,5.809748,25.78589,8.059516,90.54199
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A2187,38.321158,-121.654586,Toe Drain Canal,09/13/2018,3.471216,544.4401,89.01476,7.756301,80.19634,0.280645,574.5051,22.05502,22.09199,19.93954,3.345495,9.405396,5.865323,26.02337,8.050419,91.91074
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A2173,38.341098,-121.6492,Toe Drain Canal,09/13/2018,5.918405,547.1913,70.42901,6.176011,81.12591,0.28416,581.332,21.71853,21.76357,23.66507,4.206708,10.97184,5.925559,26.28077,7.857943,94.21693
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A2171,38.343822,-121.647959,Toe Drain Canal,09/13/2018,6.444275,547.4885,69.52515,6.09847,81.13883,0.284383,581.8486,21.70921,21.75106,23.55309,4.246463,11.05183,5.926396,26.28434,7.844018,94.19419
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A2319,38.24941,-121.673636,Prospect Slough,09/13/2018,1.838043,243.142,100.2126,9.073574,39.96227,0.1295,266.3555,20.16068,20.1752,5.774906,0.400422,2.594664,3.258156,14.88255,8.616996,42.28344
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A2317,38.25199,-121.672449,Prospect Slough,09/13/2018,1.543775,250.3367,100.3072,9.080706,41.13583,0.133279,274.2057,20.16798,20.18371,5.934564,0.409744,2.587071,3.334202,15.20751,8.633972,43.61295
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A2202,38.29978,-121.659634,Toe Drain Canal,09/13/2018,2.151312,532.4263,91.74891,8.004437,78.98923,0.274721,563.0123,21.98473,22.02042,15.56974,2.310581,7.306249,5.787102,25.68913,8.067366,88.88277
