Timestamp (PST) DS	Station Abbrev. DS	Station ID DS	Chla Rmk DS	Chla (ug/L) DS	Pheophytin Rmk DS	Pheophytin (ug/L) DS	5 micron Chla Rmk DS	5 micron Chla (ug/L) DS	5 micron Pheophytin Rmk DS	5 micron Pheophytin (ug/L) DS	NH4 Rmk DS	NH4 (mg-N/L) DS lab reported	NO2 Rmk DS	NO2 (mg-N/L) DS lab reported	NO2 + NO3 Rmk DS	NO2 + NO3 (mg-N/L) DS lab reported	PO4 Rmk DS	PO4 (mg-P/L) DS lab reported	TDN Rmk DS	TDN (mg-N/L) DS lab reported	NH4 (uM) DS	NO2 (uM) DS	NO2 + NO3 (uM) DS	PO4 (uM) DS	TDN (uM) DS	estDIN (uM) DS	DOC Rmk DS	DOC (mg-C/L) DS	Peak fDOM Rmk DS	Peak fDOM (RU) DS	UV Slope Ratio Rmk DS	UV Slope Ratio	A254 Rmk DS	A254 (AU/cm) DS	A280 Rmk DS	A280 (AU/cm) DS	A370 Rmk DS	A370 (AU/cm) DS	A412 Rmk DS	A412 (AU/cm) DS	A440 Rmk DS	A440 (AU/cm) DS	Sag 275-295 nm Rmk DS	Sag 275-295 nm DS	Sag 290-350 nm Rmk DS	Sag 290-350 nm DS	Sag 350-400 nm Rmk DS	Sag 350-400 nm DS	Sag 412-676 nm Rmk DS	Sag 412-676 nm DS	Peak A Rmk DS	Peak A (RU) DS	Peak B Rmk DS	Peak B (RU) DS	Peak C Rmk DS	Peak C (RU) DS	Peak D Rmk DS	Peak D (RU) DS	Peak M Rmk DS	Peak M (RU) DS	Peak N Rmk DS	Peak N (RU) DS	Peak T Rmk DS	Peak T (RU) DS	FI Rmk DS	FI DS	HIX Rmk DS	HIX DS	Picophytoplankton PC-Rich Prolate Spheroid Aliquot (mL) DS	Picophytoplankton PC-Rich Prolate Spheroid Tally DS	Picophytoplankton PC-Rich Prolate Spheroid Density (cells/mL) DS	Picophytoplankton PC-Rich Prolate Spheroid Total Biovolume (um3/mL) DS	Picophytoplankton PC-Rich Sphere Aliquot (mL) DS	Picophytoplankton PC-Rich Sphere Tally DS	Picophytoplankton PC-Rich Sphere Density (cells/mL) DS	Picophytoplankton PC-Rich Sphere Total Biovolume (um3/mL) DS	Picophytoplankton PE-Rich Prolate Spheroid Aliquot (mL) DS	Picophytoplankton PE-Rich Prolate Spheroid Tally DS	Picophytoplankton PE-Rich Prolate Spheroid Density (cells/mL) DS	Picophytoplankton PE-Rich Prolate Spheroid Total Biovolume (um3/mL) DS	Picophytoplankton PE-Rich Rod Aliquot (mL) DS	Picophytoplankton PE-Rich Rod Tally DS	Picophytoplankton PE-Rich Rod Density (cells/mL) DS	Picophytoplankton PE-Rich Rod Total Biovolume (um3/mL) DS	Picophytoplankton PE-Rich Sphere Aliquot (mL) DS	Picophytoplankton PE-Rich Sphere Tally DS	Picophytoplankton PE-Rich Sphere Density (cells/mL) DS	Picophytoplankton PE-Rich Sphere Total Biovolume (um3/mL) DS	Picophytoplankton Total Tally DS	Picophytoplankton Total Density (cells/mL)  DS	Picophytoplankton Total Biovolume (um3/mL) DS
5/11/2021 9:25	WSPIER	11447540										0.02		0.001		0.030		0.032		0.11	1.43	0.07	2.14	1.03	7.85	3.57																																																																	
5/11/2021 9:53	2	20210511-02										0.03	<	0.001		0.032		0.034			1.83	0.04	2.28	1.11		4.11																																																																	
5/11/2021 10:50	3	20210511-03										0.02	<	0.001		0.042		0.033			1.68	0.04	3.00	1.07		4.68																																																																	
5/11/2021 10:57	4	20210511-04									<	0.02		0.001		0.048		0.033			0.36	0.08	3.43	1.06		3.79																																																																	
5/11/2021 11:04	5	20210511-05										0.03		0.001		0.054		0.034			2.03	0.10	3.86	1.09		5.89																																																																	
5/11/2021 11:12	6	20210511-06										0.03		0.002		0.057		0.036			2.01	0.11	4.07	1.16		6.08																																																																	
5/11/2021 11:20	FPT	11447650		1.3		1.1		0.7		0.5		0.03		0.001		0.050		0.038		0.14	2.14	0.07	3.57	1.23	9.99	5.71		1.3		0.069		2.1		0.028		0.0202	E	0.0043	E	0.0023	E	0.0015		0.0184		0.0177		0.0161		0.0111		0.1776		0.0577		0.0950		0.0371		0.0986		0.0759		0.0938		1.530	<	0.7746																		268	5388.46	1672.25	268	5388.46	1672.25
5/11/2021 12:05	7	20210511-07										0.04		0.001		0.326		0.095			2.63	0.10	23.27	3.05		25.90																																																																	
5/11/2021 12:16	8	20210511-08										0.04		0.001		0.218		0.071			2.74	0.10	15.56	2.29		18.30																																																																	
5/11/2021 12:22	9	20210511-09										0.04		0.002		0.234		0.076			3.16	0.11	16.71	2.45		19.87																																																																	
5/11/2021 12:30	HOOD	382205121311300		0.9		0.7		0.7		0.5		0.05		0.002		0.230		0.073		0.36	3.57	0.14	16.42	2.36	25.70	19.99		1.6		0.082		2.0		0.030		0.0211	E	0.0038	E	0.0015	E	0.0012		0.0200		0.0197		0.0208		0.0102		0.2191		0.1161		0.1190		0.0470		0.1287		0.1171		0.1433		1.598		0.6086						42	844.46	2493.66										360	7238.23	2762.86	402	8082.69	5256.52
5/11/2021 13:10	10	20210511-10										0.04		0.002		0.306		0.084			3.06	0.12	21.85	2.70		24.91																																																																	
5/11/2021 13:23	11	20210511-11										0.04		0.002		0.163		0.061			2.88	0.12	11.64	1.97		14.52																																																																	
5/11/2021 13:29	12	20210511-12										0.04		0.001		0.204		0.067			3.05	0.10	14.56	2.15		17.61																																																																	
5/11/2021 13:40	WGA	11447890		5.3		1.8		1.1		0.5																		1.3		0.075		2.0		0.026		0.0182	E	0.0032	E	0.0015	E	0.0011		0.0200		0.0204		0.0179		0.0098		0.1699		0.0499		0.1040		0.0374		0.1084		0.0827		0.0779		1.621	<	0.7783						26	522.76	1344.77										472	9490.13	2945.15	498	10012.89	4289.93
5/11/2021 14:10	13	20210511-13										0.04		0.003		0.273		0.071			3.09	0.19	19.49	2.30		22.58																																																																	
5/11/2021 14:21	14	20210511-14										0.04		0.002		0.247		0.068			2.91	0.13	17.63	2.20		20.54																																																																	
5/11/2021 14:28	15	20210511-15										0.04		0.002		0.271		0.068			2.84	0.14	19.35	2.18		22.19																																																																	
