CL ID	"Latitude (Decimal Degrees, NAD83)"	"Longitude (Decimal Degrees, NAD83)"	Regions	Location	"Time Period (Month, Year)"	NO3 (uM) (SUNA) SA	NH4 (uM) (Tline) SA	Temp (deg. C) (EXO) SA	Sp Cond (uS/cm) (EXO) SA	pH (EXO) SA	DO (mg/L) (EXO) SA	DO (%sat) (EXO) SA	Turb (FNU) (EXO) SA	fCHL (ug/L) (EXO) SA	fDOM (QSU) (EXO) SA	fCHL (ug/L) (WS) SA	fDOM (QSU) (WS) SA	Temp (deg. C) (TSG) SA	Cond (uS/cm) (TSG) SA	Salinity (PSU) (TSG) SA	Green Algae (ug/L) (FP) SA	Bluegreen (ug/L) (FP) SA	Diatoms (ug/L) (FP) SA	Cryptophyta (ug/L) (FP) SA	Total Conc (ug/L) (FP) SA	Green Algae (%) (FP) SA	Bluegreen (%) (FP) SA	Diatoms (%) (FP) SA	Cryptophyta (%) (FP) SA	estDIN (uM) SA	Orthophosphate (uM) SA
A5616	37.993362	-121.512708	South Delta tidal transition zone	Latham Slough	7/1/2020	3.72	0.23	24.69	219.64	8.43	9.19	110.55	2.93	2.63	26.00	5.09	28.02	24.76	217.16	0.11	1.65	7.95	2.23	0.25	12.01	13.73	66.21	18.60	2.10	4.37	2.32
A3868	37.934864	-121.329782	San Joaquin tidal transition zone	San Joaquin River	7/1/2020	89.72	8.11	25.96	250.14	7.61	6.52	80.33	10.82	2.96	37.72	5.86	42.52	26.01	255.11	0.12	2.91	4.50	1.55	0.21	9.14	40.66	40.41	18.48	0.78	97.84	9.21
A3866	37.935801	-121.333187	San Joaquin tidal transition zone	San Joaquin River	7/1/2020	92.40	8.21	25.94	241.87	7.55	6.45	79.47	10.82	2.84	37.57	5.62	42.33	25.99	246.17	0.12	3.00	3.27	1.43	0.08	7.75	42.49	38.34	19.09	0.32	100.61	9.18
A3864	37.938001	-121.335422	San Joaquin tidal transition zone	San Joaquin River	7/1/2020	93.52	8.12	25.99	245.58	7.54	6.41	79.07	10.54	2.85	37.50	5.69	42.14	26.03	249.80	0.12	3.01	3.04	1.48	0.04	7.55	41.64	38.62	19.72	0.17	101.64	9.28
A3860	37.938924	-121.342176	San Joaquin tidal transition zone	San Joaquin River	7/1/2020	95.12	8.23	26.11	261.87	7.53	6.29	77.70	9.77	2.79	37.52	5.57	41.74	26.15	267.96	0.13	2.84	3.08	1.47	0.00	7.38	38.35	41.75	19.99	0.00	103.35	9.45
A3862	37.939157	-121.338529	San Joaquin tidal transition zone	San Joaquin River	7/1/2020	94.72	8.24	26.05	253.88	7.52	6.33	78.09	10.16	2.80	37.53	5.60	41.92	26.09	258.61	0.12	2.93	2.92	1.45	0.00	7.30	40.16	40.00	19.91	0.00	102.96	9.38
A3858	37.940692	-121.344747	San Joaquin tidal transition zone	San Joaquin River	7/1/2020	96.33	8.02	26.24	279.03	7.54	6.25	77.41	8.82	2.80	37.44	5.66	41.41	26.28	287.87	0.14	2.64	3.50	1.56	0.00	7.71	34.22	45.46	20.18	0.00	104.36	9.62
A3856	37.942861	-121.344854	San Joaquin tidal transition zone	San Joaquin River	7/1/2020	96.78	7.90	26.30	284.11	7.55	6.27	77.70	8.59	2.87	37.34	5.81	41.31	26.34	292.48	0.14	2.70	3.68	1.66	0.00	8.06	33.51	45.71	20.56	0.02	104.68	9.71
A3854	37.944530	-121.341934	San Joaquin tidal transition zone	San Joaquin River	7/1/2020	97.34	7.70	26.32	283.63	7.56	6.33	78.53	8.52	2.99	37.25	6.07	41.31	26.35	290.51	0.14	2.90	3.85	1.81	0.00	8.57	33.99	44.82	21.06	0.04	105.05	9.90
A3852	37.946598	-121.339568	San Joaquin tidal transition zone	San Joaquin River	7/1/2020	97.03	7.28	26.42	287.34	7.58	6.40	79.58	7.90	3.19	37.06	6.47	41.00	26.45	294.70	0.14	3.17	4.19	2.05	0.01	9.43	33.73	44.40	21.62	0.09	104.31	9.95
A3850	37.948366	-121.336868	San Joaquin tidal transition zone	San Joaquin River	7/1/2020	95.55	6.95	26.55	292.76	7.61	6.48	80.75	7.17	3.45	36.78	6.92	40.52	26.58	300.89	0.14	3.50	4.56	2.33	0.03	10.45	33.65	43.64	22.18	0.24	102.50	9.90
A3837	37.951538	-121.334676	San Joaquin tidal transition zone	San Joaquin River	7/1/2020	93.21	6.86	26.69	299.75	7.64	6.54	81.65	6.55	3.66	36.51	7.26	40.05	26.72	308.15	0.14	3.73	4.84	2.60	0.07	11.28	33.12	42.87	22.96	0.63	100.07	9.81
A3839	37.952136	-121.330928	San Joaquin tidal transition zone	Port of Stockton	7/1/2020	88.04	6.89	26.82	317.44	7.72	6.57	82.20	5.87	3.79	36.34	7.37	39.68	26.86	327.03	0.15	3.55	5.03	2.76	0.19	11.56	30.89	43.31	23.90	1.57	94.93	9.81
A3843	37.952486	-121.323611	San Joaquin tidal transition zone	Port of Stockton	7/1/2020	73.85	6.13	26.98	366.16	7.98	6.89	86.56	5.17	4.33	36.96	8.36	40.41	27.01	377.64	0.17	3.09	10.16	3.12	0.79	17.21	20.49	55.71	19.25	4.19	79.98	10.22
A3845	37.952465	-121.319807	San Joaquin tidal transition zone	Port of Stockton	7/1/2020	67.08	5.47	27.06	394.16	8.22	7.28	91.58	5.32	4.93	37.55	9.59	41.35	27.09	412.39	0.19	2.90	16.96	3.81	1.37	25.04	12.98	65.98	15.73	5.25	72.56	10.47
A3847	37.952491	-121.316280	San Joaquin tidal transition zone	Port of Stockton	7/1/2020	64.21	4.92	27.09	406.09	8.33	7.47	94.03	5.40	5.22	37.76	10.17	41.70	27.12	425.19	0.19	2.91	19.46	4.14	1.58	28.06	11.16	68.53	14.89	5.53	69.13	10.56
A3834	37.952796	-121.339559	San Joaquin tidal transition zone	San Joaquin River	7/1/2020	91.36	6.43	26.80	298.36	7.63	6.58	82.37	6.38	3.64	36.08	7.18	39.47	26.83	308.23	0.14	3.90	4.95	2.60	0.02	11.50	33.92	43.13	22.60	0.15	97.78	9.56
A3831	37.953927	-121.345056	San Joaquin tidal transition zone	San Joaquin River	7/1/2020	87.97	5.66	26.86	301.82	7.61	6.64	83.22	6.16	4.02	35.73	7.78	39.14	26.89	312.12	0.15	4.35	5.05	2.87	0.02	12.27	35.31	41.34	23.34	0.19	93.63	8.70
A3829	37.955012	-121.348354	San Joaquin tidal transition zone	San Joaquin River	7/1/2020	87.68	5.57	26.79	303.77	7.60	6.65	83.19	6.05	3.98	35.92	7.68	39.32	26.83	313.66	0.15	4.15	5.30	2.81	0.05	12.29	33.74	43.21	22.82	0.38	93.25	8.36
A3827	37.956052	-121.351784	San Joaquin tidal transition zone	San Joaquin River	7/1/2020	86.12	5.40	26.82	307.35	7.62	6.71	84.04	5.56	4.00	35.95	7.67	39.20	26.86	317.85	0.15	4.07	5.64	2.82	0.07	12.61	32.26	44.72	22.35	0.58	91.52	8.11
A3825	37.957549	-121.354899	San Joaquin tidal transition zone	San Joaquin River	7/1/2020	85.41	5.43	26.79	310.36	7.66	6.74	84.31	5.12	3.84	36.27	7.47	39.45	26.82	320.93	0.15	3.76	5.85	2.71	0.10	12.51	30.09	46.80	21.61	0.80	90.84	8.20
A3823	37.958459	-121.358370	San Joaquin tidal transition zone	San Joaquin River	7/1/2020	84.35	5.06	26.79	314.76	7.68	6.79	84.99	4.54	3.63	36.57	7.12	39.72	26.82	324.94	0.15	3.48	6.22	2.49	0.14	12.40	28.07	50.19	20.08	1.15	89.41	8.26
A3821	37.960285	-121.361303	San Joaquin tidal transition zone	San Joaquin River	7/1/2020	83.97	4.72	26.78	318.38	7.68	6.81	85.23	4.22	3.44	36.82	6.79	39.98	26.81	328.84	0.15	3.28	6.47	2.26	0.19	12.21	26.80	53.08	18.47	1.58	88.69	8.27
A3819	37.962437	-121.363658	San Joaquin tidal transition zone	San Joaquin River	7/1/2020	83.83	4.37	26.75	322.48	7.68	6.82	85.20	4.00	3.24	37.10	6.45	40.29	26.78	332.95	0.16	3.07	6.69	2.07	0.20	12.00	25.51	55.81	17.17	1.64	88.20	8.30
A3817	37.964315	-121.366448	San Joaquin tidal transition zone	San Joaquin River	7/1/2020	84.03	3.92	26.70	329.19	7.68	6.80	84.95	3.95	3.06	37.57	6.11	40.86	26.73	338.45	0.16	2.83	7.11	1.89	0.15	11.98	23.64	59.29	15.79	1.22	87.95	8.39
A3815	37.966430	-121.369001	San Joaquin tidal transition zone	San Joaquin River	7/1/2020	84.16	3.66	26.70	332.89	7.69	6.82	85.15	4.01	3.02	37.92	6.04	41.24	26.73	342.47	0.16	2.78	7.56	1.87	0.14	12.36	22.52	61.04	15.19	1.14	87.82	8.41
A3813	37.968648	-121.371416	San Joaquin tidal transition zone	San Joaquin River	7/1/2020	84.22	3.46	26.71	335.65	7.70	6.86	85.73	4.04	2.97	38.20	5.93	41.55	26.73	346.63	0.16	2.72	8.13	1.79	0.20	12.85	21.23	63.13	14.01	1.54	87.68	8.43
A3811	37.970839	-121.373878	San Joaquin tidal transition zone	San Joaquin River	7/1/2020	84.25	3.31	26.67	338.90	7.70	6.90	86.17	4.03	2.88	38.49	5.77	41.98	26.69	350.63	0.16	2.59	8.42	1.73	0.22	12.96	19.98	64.88	13.36	1.71	87.56	8.44
A5640	37.971431	-121.487391	South Delta tidal transition zone	Empire Cut	7/1/2020	20.48	0.63	25.42	305.30	7.90	8.20	100.06	3.51	3.57	48.67	6.82	52.98	25.48	308.33	0.15	3.40	7.47	1.86	0.17	12.90	26.24	57.92	14.48	1.26	21.13	4.42
A5636	37.971397	-121.480074	South Delta tidal transition zone	Empire Cut	7/1/2020	21.99	0.65	25.32	303.51	7.90	8.16	99.41	3.60	3.28	47.12	6.31	51.29	25.37	305.09	0.15	2.96	6.46	1.76	0.08	11.24	26.40	57.39	15.65	0.72	22.29	4.57
A5638	37.971423	-121.483723	South Delta tidal transition zone	Empire Cut	7/1/2020	20.92	0.68	25.38	304.03	7.91	8.22	100.29	3.53	3.40	47.53	6.53	51.79	25.43	306.10	0.15	3.06	7.07	1.81	0.10	12.03	25.45	58.71	15.10	0.82	21.58	4.51
A5642	37.971466	-121.491053	South Delta tidal transition zone	Empire Cut	7/1/2020	19.67	0.56	25.57	307.38	7.89	8.27	101.14	3.49	3.81	49.80	7.31	54.25	25.66	310.98	0.15	3.92	7.90	1.89	0.31	14.03	27.94	56.34	13.48	2.13	20.25	4.33
A5634	37.971278	-121.476619	South Delta tidal transition zone	Empire Cut	7/1/2020	22.76	0.65	25.27	303.23	7.89	8.11	98.66	3.65	3.22	46.91	6.20	51.03	25.33	304.64	0.15	2.91	6.14	1.73	0.09	10.84	26.81	56.64	15.95	0.80	22.81	4.60
A5644	37.971506	-121.494713	South Delta tidal transition zone	Empire Cut	7/1/2020	19.16	0.50	25.79	306.31	7.95	8.48	104.13	3.52	3.86	48.88	7.52	53.08	25.87	308.99	0.15	4.04	8.28	1.82	0.41	14.55	27.81	56.84	12.48	2.83	19.67	4.23
A5646	37.971550	-121.498382	South Delta tidal transition zone	Empire Cut	7/1/2020	19.46	0.51	25.92	300.64	8.04	8.65	106.54	3.58	3.76	46.76	7.36	50.63	25.97	303.64	0.15	3.90	8.40	1.81	0.42	14.53	26.92	57.78	12.41	2.89	19.97	4.13
A5648	37.971582	-121.502042	South Delta tidal transition zone	Empire Cut	7/1/2020	19.63	0.54	25.94	298.18	8.07	8.69	107.05	3.63	3.76	46.25	7.32	50.12	25.98	301.92	0.15	3.87	8.40	1.85	0.41	14.52	26.71	57.77	12.71	2.86	20.17	4.07
A5650	37.971604	-121.505712	South Delta tidal transition zone	Empire Cut	7/1/2020	19.78	0.58	25.93	296.66	8.07	8.67	106.82	3.78	3.85	47.11	7.45	51.37	25.96	301.70	0.14	3.96	8.36	1.98	0.37	14.68	27.04	56.86	13.45	2.52	20.35	3.96
A5653	37.971590	-121.511259	South Delta tidal transition zone	Empire Cut	7/1/2020	18.45	0.59	25.82	295.14	8.03	8.60	105.74	3.95	3.95	48.65	7.58	53.29	25.84	297.00	0.14	3.91	8.26	1.92	0.41	14.52	26.92	56.76	13.21	2.81	19.01	3.80
A5657	37.972162	-121.518581	South Delta tidal transition zone	Empire Cut	7/1/2020	13.03	0.46	25.58	276.29	8.19	8.91	109.08	3.58	3.43	42.34	6.57	46.77	25.58	269.59	0.13	2.50	8.35	2.02	0.24	13.15	18.87	63.25	15.36	1.86	13.42	3.52
A5655	37.972148	-121.514907	South Delta tidal transition zone	Empire Cut	7/1/2020	15.00	0.48	25.67	284.09	8.10	8.72	106.91	3.71	3.65	45.24	6.99	49.40	25.69	279.48	0.13	2.99	8.35	1.99	0.28	13.66	21.75	61.16	14.61	2.04	15.46	3.61
A5633	37.972867	-121.509192	South Delta tidal transition zone	Latham Slough	7/1/2020	17.82	0.54	25.80	290.68	8.08	8.65	106.32	3.77	3.81	47.16	7.33	51.06	25.84	293.24	0.14	3.77	8.25	1.98	0.39	14.43	26.04	57.26	13.76	2.69	18.36	3.76
A3809	37.973047	-121.376247	San Joaquin tidal transition zone	San Joaquin River	7/1/2020	84.48	2.99	26.51	348.85	7.70	6.89	85.79	4.05	2.80	39.52	5.62	43.47	26.53	359.19	0.17	2.34	8.19	1.71	0.15	12.43	18.80	65.82	13.85	1.21	87.47	8.46
A5694	37.973615	-121.474542	South Delta tidal transition zone	Turner Cut	7/1/2020	23.65	0.68	25.24	302.09	7.89	8.08	98.32	3.69	3.15	46.00	6.12	50.03	25.29	303.33	0.15	2.82	6.06	1.70	0.10	10.65	26.48	56.88	15.90	0.98	23.35	4.59
A5631	37.974388	-121.512521	South Delta tidal transition zone	Latham Slough	7/1/2020	14.18	0.42	25.65	279.04	8.13	8.74	107.13	3.55	3.55	44.20	6.80	47.49	25.69	275.72	0.13	2.96	8.34	2.06	0.28	13.68	21.43	61.13	15.15	2.00	14.60	3.56
A3807	37.975150	-121.378741	San Joaquin tidal transition zone	San Joaquin River	7/1/2020	84.57	2.76	26.43	357.18	7.69	6.88	85.49	4.12	2.87	40.72	5.73	44.89	26.45	367.29	0.17	2.31	7.90	1.78	0.12	12.16	19.06	64.95	14.65	0.95	87.33	8.43
A5692	37.976695	-121.474778	South Delta tidal transition zone	Turner Cut	7/1/2020	24.37	0.72	25.22	301.71	7.89	8.05	97.90	3.69	3.03	45.03	5.98	48.99	25.26	302.68	0.15	2.69	6.09	1.65	0.10	10.52	25.53	57.96	15.66	0.99	23.82	4.52
A3805	37.977265	-121.381246	San Joaquin tidal transition zone	San Joaquin River	7/1/2020	84.39	2.57	26.43	365.36	7.69	6.90	85.83	4.23	2.98	42.06	5.92	46.32	26.45	376.22	0.18	2.39	7.85	1.85	0.12	12.25	19.55	64.03	15.11	1.01	86.96	8.39
