CL ID	"Latitude (Decimal Degrees, NAD83)"	"Longitude (Decimal Degrees, NAD83)"	"Time Period (Month, Year)"	Regions	Location	NO3 (uM) (SUNA) SA	NH4 (uM) (Tline) SA	Temp (deg. C) (EXO) SA	Sp Cond (uS/cm) (EXO) SA	pH (EXO) SA	DO (mg/L) (EXO) SA	DO (%sat) (EXO) SA	Turb (FNU) (EXO) SA	fCHL (ug/L) (EXO) SA	fDOM (QSU) (EXO) SA	fCHL (ug/L) (WS) SA	fDOM (QSU) (WS) SA	Temp (deg. C) (TSG) SA	Cond (uS/cm) (TSG) SA	Salinity (PSU) (TSG) SA	Green Algae (ug/L) (FP) SA	Bluegreen (ug/L) (FP) SA	Diatoms (ug/L) (FP) SA	Cryptophyta (ug/L) (FP) SA	Total Conc (ug/L) (FP) SA	Green Algae (%) (FP) SA	Bluegreen (%) (FP) SA	Diatoms (%) (FP) SA	Cryptophyta (%) (FP) SA	estDIN (uM) SA	estDOC (mg-C/L) SA	Orthophosphate (uM) SA
A5616	37.993362	-121.512708	5/1/2021	South Delta tidal transition zone	Latham Slough	9.26	0.46	21.61	403.85	9.02	12.20	138.71	3.91	15.36	44.75	23.88	57.28	21.60	382.16	0.20	1.13	1.80	24.37	0.00	27.24	4.21	6.77	89.25	0.00	12.76	4.49	1.42
A4097	38.166201	-121.491400	5/1/2021	Mokelumne tidal transition zone	Hog Slough	0.50	0.65	20.94	255.62	8.75	8.83	99.01	6.15	9.03	32.47	14.10	42.93	20.92	234.25	0.12	0.69	0.73	14.02	0.00	15.47	4.25	4.67	90.73	0.00	1.15	3.41	0.71
A3284	38.170279	-121.495870	5/1/2021	Mokelumne tidal transition zone	South Mokelumne River	0.50	0.66	20.85	252.15	8.71	8.69	97.25	8.83	13.51	31.51	21.28	42.70	20.83	232.43	0.12	1.58	0.86	20.42	0.00	22.85	6.78	3.41	89.39	0.00	1.16	3.33	0.76
A3246	38.209702	-121.489602	5/1/2021	Mokelumne tidal transition zone	South Mokelumne River	0.50	0.68	21.97	183.17	8.11	8.61	98.40	10.88	14.31	28.56	21.66	38.53	21.90	184.62	0.10	1.45	1.30	21.03	0.00	23.75	6.08	5.57	88.50	0.00	1.17	3.07	0.96
A3129	38.228413	-121.493868	5/1/2021	Mokelumne tidal transition zone	Dead Horse Cut	0.50	0.24	22.34	90.14	7.46	7.74	89.09	6.50	4.05	17.24	7.72	22.60	22.31	84.63	0.05	0.94	1.14	6.34	0.00	8.43	11.43	14.43	74.21	0.00	0.70	2.08	0.92
A3137	38.224314	-121.506121	5/1/2021	Mokelumne tidal transition zone	North Mokelumne River	0.61	0.33	21.66	109.55	7.55	7.44	84.60	8.58	4.64	22.38	8.33	29.45	21.62	102.18	0.05	0.32	1.27	6.64	0.00	8.27	3.46	15.69	80.38	0.00	0.96	2.53	1.02
A3131	38.227523	-121.496661	5/1/2021	Mokelumne tidal transition zone	North Mokelumne River	0.49	0.29	22.32	95.49	7.50	7.83	90.09	6.90	4.80	18.39	8.29	23.86	22.29	87.95	0.05	0.90	1.18	7.29	0.00	9.39	9.37	12.11	78.24	0.00	0.81	2.18	0.95
A3229	38.227253	-121.492263	5/1/2021	Mokelumne tidal transition zone	South Mokelumne River	0.50	0.25	22.47	86.33	7.44	7.78	89.79	6.38	4.27	16.49	8.10	21.76	22.43	80.66	0.05	0.93	1.15	6.75	0.00	8.82	10.79	13.47	75.90	0.00	0.73	2.01	0.91
A3130	38.227503	-121.494888	5/1/2021	Mokelumne tidal transition zone	North Mokelumne River	0.50	0.27	22.41	90.52	7.47	7.82	90.12	6.58	4.50	17.35	8.12	22.67	22.38	83.69	0.05	0.93	1.16	6.99	0.00	9.09	10.26	12.64	77.04	0.00	0.78	2.09	0.93
A4118	38.169383	-121.456683	5/1/2021	Mokelumne tidal transition zone	Hog Slough	0.50	1.31	21.76	275.62	8.71	8.85	100.84	2.59	1.76	36.17	4.17	47.02	21.78	258.55	0.13	0.64	1.32	2.43	0.00	4.36	14.61	30.32	55.63	0.00	1.81	3.74	0.64
A4113	38.168912	-121.465441	5/1/2021	Mokelumne tidal transition zone	Hog Slough	0.50	1.00	21.52	279.41	8.62	8.85	100.35	2.98	2.42	37.43	4.88	49.13	21.48	262.50	0.14	0.43	1.12	3.43	0.00	4.97	8.83	22.60	68.91	0.00	1.50	3.85	0.64
A4115	38.169562	-121.462162	5/1/2021	Mokelumne tidal transition zone	Hog Slough	0.50	1.19	21.66	277.28	8.67	8.85	100.60	2.78	2.05	36.69	4.46	47.92	21.66	260.48	0.13	0.53	1.22	2.88	0.00	4.60	11.59	26.72	62.23	0.00	1.69	3.79	0.65
A4116	38.169324	-121.460309	5/1/2021	Mokelumne tidal transition zone	Hog Slough	0.50	1.19	21.66	277.28	8.67	8.85	100.60	2.78	2.05	36.69	4.46	47.92	21.66	260.48	0.13	0.53	1.22	2.88	0.00	4.60	11.59	26.72	62.23	0.00	1.69	3.79	0.65
A4111	38.168608	-121.469004	5/1/2021	Mokelumne tidal transition zone	Hog Slough	0.50	0.82	21.36	281.44	8.58	8.84	99.97	3.19	2.75	38.14	5.29	50.24	21.31	263.66	0.14	0.36	1.02	3.96	0.00	5.33	6.80	19.09	74.20	0.00	1.32	3.91	0.64
A4112	38.168390	-121.467199	5/1/2021	Mokelumne tidal transition zone	Hog Slough	0.50	0.91	21.43	280.49	8.60	8.85	100.17	3.08	2.58	37.81	5.08	49.72	21.39	263.20	0.14	0.39	1.07	3.70	0.00	5.13	7.59	20.75	71.98	0.00	1.41	3.88	0.64
A4117	38.169265	-121.458631	5/1/2021	Mokelumne tidal transition zone	Hog Slough	0.50	1.26	21.72	276.33	8.69	8.85	100.73	2.67	1.89	36.39	4.29	47.40	21.73	259.41	0.13	0.59	1.28	2.62	0.00	4.47	13.28	28.68	58.53	0.00	1.76	3.76	0.64
A4108	38.167475	-121.473738	5/1/2021	Mokelumne tidal transition zone	Hog Slough	0.50	0.59	21.19	283.03	8.54	8.84	99.55	3.52	3.18	38.82	5.75	51.29	21.14	264.67	0.14	0.35	0.91	4.59	0.00	5.84	6.03	15.33	78.64	0.00	1.09	3.97	0.62
A4104	38.165174	-121.480395	5/1/2021	Mokelumne tidal transition zone	Hog Slough	0.50	0.53	21.01	276.96	8.55	8.78	98.61	4.29	4.59	37.79	7.44	50.24	20.98	258.87	0.14	0.38	0.78	6.82	0.00	7.98	5.17	9.81	84.90	0.00	1.03	3.88	0.62
A4114	38.169068	-121.463728	5/1/2021	Mokelumne tidal transition zone	Hog Slough	0.50	1.10	21.59	278.35	8.64	8.85	100.48	2.88	2.24	37.05	4.66	48.51	21.57	261.56	0.14	0.48	1.17	3.14	0.00	4.77	10.11	24.63	65.59	0.00	1.60	3.82	0.65
A4105	38.165680	-121.478678	5/1/2021	Mokelumne tidal transition zone	Hog Slough	0.50	0.49	21.04	280.54	8.53	8.79	98.77	4.06	4.05	38.56	6.78	51.22	21.00	262.31	0.14	0.38	0.81	5.96	0.00	7.14	5.62	11.18	83.19	0.00	0.99	3.95	0.61
