CL ID	"Latitude (Decimal Degrees, NAD83)"	"Longitude (Decimal Degrees, NAD83)"	Regions	Location	"Time Period (Month, Year)"	NO3 (uM) (SUNA) SA	NH4 (uM) (Tline) SA	Temp (deg. C) (EXO) SA	Sp Cond (uS/cm) (EXO) SA	pH (EXO) SA	DO (mg/L) (EXO) SA	DO (%sat) (EXO) SA	Turb (FNU) (EXO) SA	fCHL (ug/L) (EXO) SA	fDOM (QSU) (EXO) SA	fCHL (ug/L) (WS) SA	fDOM (QSU) (WS) SA	Temp (deg. C) (TSG) SA	Cond (uS/cm) (TSG) SA	Salinity (PSU) (TSG) SA	Bluegreen (ug/L) (FP) SA	Diatoms (ug/L) (FP) SA	Cryptophyta (ug/L) (FP) SA	Total Conc (ug/L) (FP) SA	Bluegreen (%) (FP) SA	Diatoms (%) (FP) SA	Cryptophyta (%) (FP) SA	estDIN (uM) SA	estDOC (mg-C/L) SA	Orthophosphate (uM) SA
A5616	37.993362	-121.512708	South Delta tidal transition zone	Latham Slough	10/1/2020	21.56	1.34	21.92	341.25	7.85	8.43	96.38	1.53	2.32	31.23	3.83	32.27	21.94	323.95	0.16	1.64	1.51	0.23	4.89	33.68	30.86	4.71	22.90	2.39	2.70
A4097	38.166201	-121.491400	Mokelumne tidal transition zone	Hog Slough	10/1/2020	9.53	2.48	20.06	133.58	7.61	8.23	90.60	1.40	1.85	20.96	3.15	21.89	20.08	120.59	0.07	2.49	1.06	0.02	5.54	44.56	19.21	0.35	12.01	1.81	1.73
A3284	38.170279	-121.495870	Mokelumne tidal transition zone	South Mokelumne River	10/1/2020	10.13	2.85	19.95	131.74	7.57	8.17	89.74	1.28	1.59	20.56	2.80	21.40	19.97	119.30	0.07	1.54	0.82	0.03	3.80	40.17	21.67	0.70	12.99	1.79	1.81
A3246	38.209702	-121.489602	Mokelumne tidal transition zone	South Mokelumne River	10/1/2020	12.30	6.65	19.43	119.73	7.60	8.59	93.42	2.25	1.11	15.74	2.05	15.88	19.45	107.11	0.06	1.04	0.83	0.02	2.47	39.30	33.55	0.74	18.97	1.51	1.66
A3129	38.228413	-121.493868	Mokelumne tidal transition zone	Dead Horse Cut	10/1/2020	3.19	3.82	18.75	66.45	7.47	8.36	89.70	2.45	1.47	13.98	2.52	13.60	18.77	54.82	0.05	1.15	1.01	0.00	3.05	38.39	33.41	0.00	5.73	1.41	1.51
A3137	38.224314	-121.506121	Mokelumne tidal transition zone	North Mokelumne River	10/1/2020	11.52	8.38	19.22	119.47	7.53	8.28	89.74	1.86	0.93	15.15	1.79	15.54	19.23	106.17	0.04	1.07	0.72	0.02	2.07	57.61	35.87	0.90	19.76	1.48	2.12
A3131	38.227523	-121.496661	Mokelumne tidal transition zone	North Mokelumne River	10/1/2020	3.93	3.88	18.82	70.75	7.48	8.37	89.99	2.39	1.43	14.01	2.51	13.75	18.84	60.04	0.04	1.15	1.05	0.00	3.15	41.02	33.78	0.24	6.92	1.41	1.60
A3229	38.227253	-121.492263	Mokelumne tidal transition zone	South Mokelumne River	10/1/2020	2.63	2.56	18.75	62.60	7.41	8.39	89.97	2.44	1.41	13.83	2.46	13.50	18.77	53.34	0.04	1.14	0.96	0.00	3.12	36.85	30.63	0.01	4.60	1.40	1.47
A3130	38.227503	-121.494888	Mokelumne tidal transition zone	North Mokelumne River	10/1/2020	3.00	3.14	18.77	64.94	7.44	8.38	89.98	2.43	1.45	13.88	2.52	13.55	18.79	54.95	0.04	1.15	1.02	0.00	3.18	38.46	32.33	0.08	5.35	1.41	1.52
A4108	38.167475	-121.473738	Mokelumne tidal transition zone	Hog Slough	10/1/2020	3.86	1.49	20.74	162.52	7.92	9.06	101.13	2.90	3.49	27.47	5.84	29.39	20.76	150.13	0.08	8.66	1.94	0.00	14.03	62.86	13.46	0.00	5.34	2.18	1.61
A4104	38.165174	-121.480395	Mokelumne tidal transition zone	Hog Slough	10/1/2020	6.16	2.54	20.43	149.81	7.81	8.85	98.13	2.37	3.22	24.15	5.22	25.93	20.47	137.17	0.07	6.10	1.96	0.00	11.16	54.06	17.68	0.00	8.70	1.99	1.63
A4105	38.165680	-121.478678	Mokelumne tidal transition zone	Hog Slough	10/1/2020	5.32	2.33	20.52	154.40	7.85	8.92	99.11	2.55	3.39	25.36	5.52	27.35	20.56	141.81	0.08	6.91	2.01	0.00	12.16	56.55	16.60	0.00	7.65	2.06	1.62
A4101	38.166106	-121.485075	Mokelumne tidal transition zone	Hog Slough	10/1/2020	8.08	2.47	20.26	140.06	7.72	8.63	95.41	1.91	2.55	21.65	4.21	22.74	20.28	126.68	0.07	4.43	1.61	0.00	8.72	50.14	18.44	0.02	10.55	1.85	1.68
A4109	38.168357	-121.472375	Mokelumne tidal transition zone	Hog Slough	10/1/2020	3.87	1.45	20.75	162.56	7.93	9.07	101.20	2.91	3.47	27.46	5.82	29.30	20.77	150.16	0.08	8.72	1.93	0.00	14.06	63.07	13.44	0.00	5.32	2.18	1.62
A4106	38.166338	-121.476948	Mokelumne tidal transition zone	Hog Slough	10/1/2020	4.63	1.93	20.62	158.23	7.89	8.98	99.98	2.70	3.42	26.40	5.64	28.28	20.65	145.64	0.08	7.77	2.00	0.00	13.08	59.40	15.30	0.00	6.56	2.12	1.62
A4107	38.166885	-121.475385	Mokelumne tidal transition zone	Hog Slough	10/1/2020	4.19	1.66	20.69	160.65	7.91	9.02	100.57	2.81	3.44	27.02	5.73	28.91	20.71	148.16	0.08	8.27	1.96	0.00	13.60	61.37	14.22	0.00	5.85	2.15	1.61
A4102	38.165507	-121.483580	Mokelumne tidal transition zone	Hog Slough	10/1/2020	7.12	2.62	20.34	144.74	7.77	8.75	96.84	2.14	2.95	22.82	4.78	24.35	20.37	131.94	0.07	5.19	1.81	0.00	9.93	51.76	18.25	0.00	9.74	1.91	1.65
A4110	38.168966	-121.470748	Mokelumne tidal transition zone	Hog Slough	10/1/2020	3.45	1.41	20.80	164.67	7.95	9.12	101.86	3.01	3.59	27.99	6.01	29.90	20.81	152.34	0.08	9.16	2.02	0.00	14.68	64.23	13.15	0.00	4.86	2.21	1.61
A4099	38.167127	-121.487988	Mokelumne tidal transition zone	Hog Slough	10/1/2020	8.81	2.40	20.17	136.44	7.68	8.49	93.72	1.68	2.23	20.94	3.72	21.83	20.19	123.00	0.07	3.67	1.40	0.01	7.53	48.44	18.50	0.10	11.21	1.81	1.70
A4098	38.166792	-121.489810	Mokelumne tidal transition zone	Hog Slough	10/1/2020	9.29	2.39	20.11	134.45	7.65	8.35	92.08	1.52	2.00	20.75	3.39	21.63	20.12	121.17	0.07	3.06	1.22	0.01	6.51	46.82	18.66	0.25	11.67	1.80	1.72
