CL ID	"Latitude (Decimal Degrees, NAD83)"	"Longitude (Decimal Degrees, NAD83)"	Regions	Location	"Time Period (Month, Year)"	NO3 (uM) (SUNA) SA	NH4 (uM) (Tline) SA	Temp (deg. C) (EXO) SA	Sp Cond (uS/cm) (EXO) SA	pH (EXO) SA	DO (mg/L) (EXO) SA	DO (%sat) (EXO) SA	Turb (FNU) (EXO) SA	fCHL (ug/L) (EXO) SA	fDOM (QSU) (EXO) SA	fCHL (ug/L) (WS) SA	fDOM (QSU) (WS) SA	Temp (deg. C) (TSG) SA	Cond (uS/cm) (TSG) SA	Salinity (PSU) (TSG) SA	Green Algae (ug/L) (FP) SA	Bluegreen (ug/L) (FP) SA	Diatoms (ug/L) (FP) SA	Cryptophyta (ug/L) (FP) SA	Total Conc (ug/L) (FP) SA	Green Algae (%) (FP) SA	Bluegreen (%) (FP) SA	Diatoms (%) (FP) SA	Cryptophyta (%) (FP) SA	estDIN (uM) SA	estDOC (mg-C/L) SA	Orthophosphate (uM) SA
A5616	37.993362	-121.512708	South Delta tidal transition zone	Latham Slough	10/1/2021	8.30	0.78	20.73	554.51	7.81	7.76	86.66	1.96	1.46	35.49	3.88	38.22	20.73	514.85	0.27	2.20	2.69	0.95	0.00	5.83	37.54	35.32	16.33	0.00	7.79	2.69	2.28
A3284	38.170279	-121.495870	Mokelumne tidal transition zone	South Mokelumne River	10/1/2021	3.43	0.25	21.23	186.36	7.95	8.57	96.48	1.82	1.80	18.41	4.98	19.23	21.36	171.72	0.09	3.32	6.15	1.14	1.32	11.93	27.89	51.47	9.56	11.10	3.68	1.75	1.53
A3246	38.209702	-121.489602	Mokelumne tidal transition zone	South Mokelumne River	10/1/2021	6.87	0.26	21.10	173.38	7.98	8.78	98.76	1.74	0.82	13.82	2.42	14.08	21.25	163.22	0.09	1.98	2.51	0.72	0.08	5.32	37.61	46.31	13.58	1.20	7.14	1.49	1.10
A3129	38.228413	-121.493868	Mokelumne tidal transition zone	Dead Horse Cut	10/1/2021	6.92	0.47	21.03	172.51	8.14	9.22	103.56	1.60	0.80	14.37	2.58	14.70	21.15	161.02	0.09	2.04	1.91	0.87	0.01	4.82	41.69	39.48	18.71	0.19	7.39	1.52	0.97
A3137	38.224314	-121.506121	Mokelumne tidal transition zone	North Mokelumne River	10/1/2021	11.08	0.50	20.65	169.72	7.88	8.41	93.73	1.65	0.63	12.31	2.36	12.46	20.78	157.50	0.08	1.66	1.67	0.95	0.00	4.27	38.59	38.92	22.61	0.02	11.52	1.42	1.02
A3131	38.227523	-121.496661	Mokelumne tidal transition zone	North Mokelumne River	10/1/2021	7.34	0.37	20.97	172.95	8.02	8.79	98.62	1.66	0.80	14.13	2.61	14.44	21.09	161.20	0.09	2.09	1.94	0.85	0.00	4.88	42.42	39.78	17.90	0.03	7.71	1.51	0.98
A3229	38.227253	-121.492263	Mokelumne tidal transition zone	South Mokelumne River	10/1/2021	5.83	0.45	21.06	173.93	8.05	8.92	100.17	1.71	0.88	15.07	2.72	15.46	21.18	162.51	0.09	2.29	2.05	0.79	0.00	5.13	44.28	39.98	15.73	0.06	6.28	1.56	0.98
A3130	38.227503	-121.494888	Mokelumne tidal transition zone	North Mokelumne River	10/1/2021	6.53	0.40	21.02	173.52	8.03	8.86	99.41	1.68	0.85	14.62	2.67	14.98	21.14	161.91	0.09	2.20	2.00	0.82	0.00	5.02	43.45	39.85	16.74	0.03	6.93	1.54	0.98
A3288	38.165302	-121.492463	Mokelumne tidal transition zone	South Mokelumne River	10/1/2021	2.85	0.25	21.21	193.97	7.90	8.39	94.51	1.86	1.87	20.22	5.24	21.38	21.34	177.42	0.09	3.42	6.41	1.14	1.41	12.37	27.70	51.73	9.22	11.38	3.10	1.85	1.61
A3289	38.164094	-121.492975	Mokelumne tidal transition zone	South Mokelumne River	10/1/2021	2.85	0.25	21.21	193.97	7.90	8.39	94.51	1.86	1.87	20.22	5.24	21.38	21.34	177.42	0.09	3.42	6.41	1.14	1.41	12.37	27.70	51.73	9.22	11.38	3.10	1.85	1.61
