,fCHL μgL WS HR mean,fCHL μgL EXO HR mean,fCHL μgL EXO HR median,NO3 uM SUNA HR mean,CL_ID,Location,Latitude,Longitude,USGS_Stati,Station_ID,USGS_Sta_1,DigitalLat,DigitalLon,Subregions
0,19.42349339,11.69987753,10.30564263,4.086872111,A1204,Honker Bay,38.053111,-121.935458, , ,,,,Suisun Bay
1,18.6715317,9.713963498,9.713963498,10.5351675,A3385,San Joaquin River,38.098259,-121.577943, , ,,,,Central Delta Tidal Zone
2,18.12791164,9.728918184,9.693521014,10.49168109,A3386,San Joaquin River,38.098653,-121.579629, , ,,,,Central Delta Tidal Zone
3,17.21410527,10.03384176,9.933113707,10.24947219,A3387,San Joaquin River,38.099019,-121.581426, , ,,,,Central Delta Tidal Zone
4,17.17050135,11.23554116,11.28967858,9.925758,A3388,San Joaquin River,38.098909,-121.583361, , ,,,,Central Delta Tidal Zone
5,17.44138184,11.50019531,11.57255233,9.489832731,A3389,San Joaquin River,38.098518,-121.585375, , ,,,,Central Delta Tidal Zone
6,17.5805106,9.999867202,9.92270445,9.074947038,A3390,San Joaquin River,38.098389,-121.587342, , ,,,,Central Delta Tidal Zone
7,17.15763143,10.04277411,9.994420339,8.71550775,A3391,San Joaquin River,38.09849,-121.589208, , ,,,,Central Delta Tidal Zone
8,16.69081547,10.60504535,10.6031456,8.680362692,A3392,San Joaquin River,38.098957,-121.59094, , ,,,,Central Delta Tidal Zone
9,16.20823139,11.22844045,11.40929535,8.668551,A3393,San Joaquin River,38.099992,-121.592501, , ,,,,Central Delta Tidal Zone
10,16.73328053,10.50870613,10.46714164,8.7530046,A3394,San Joaquin River,38.100824,-121.594086, , ,,,,Central Delta Tidal Zone
11,17.22840076,10.52946495,10.6154461,8.953262,A3395,San Joaquin River,38.101715,-121.595586, , ,,,,Central Delta Tidal Zone
12,17.75627892,10.47981611,10.51622377,9.02443975,A3396,San Joaquin River,38.102514,-121.597162, , ,,,,Central Delta Tidal Zone
13,18.61950845,11.4415112,11.53385261,9.278360375,A3397,San Joaquin River,38.102941,-121.598947, , ,,,,Central Delta Tidal Zone
14,19.00803324,11.78483293,11.72300666,9.371346692,A3398,San Joaquin River,38.103818,-121.600521, , ,,,,Central Delta Tidal Zone
15,18.83685608,11.62302001,11.59261108,9.500824167,A3399,San Joaquin River,38.104597,-121.602205, , ,,,,Central Delta Tidal Zone
16,19.10770346,11.02999347,10.95356965,9.526744269,A3400,San Joaquin River,38.104872,-121.6041, , ,,,,Central Delta Tidal Zone
17,19.54484014,11.09961718,11.14827758,9.604694727,A3401,San Joaquin River,38.10541,-121.606023, , ,,,,Central Delta Tidal Zone
18,20.09446021,11.02498074,11.14217252,9.6330495,A3402,San Joaquin River,38.104854,-121.608001, , ,,,,Central Delta Tidal Zone
19,19.33270311,10.64258724,10.58805911,9.560702885,A3403,San Joaquin River,38.104706,-121.609854, , ,,,,Central Delta Tidal Zone
20,19.1604496,11.0897289,10.62746845,9.3902454,A3404,San Joaquin River,38.104224,-121.61161, , ,,,,Central Delta Tidal Zone
