NO3 (μM) (ISUS) SA ,NO3 (μM) (SUNA) SA,fCHL (μgL) (EXO) SA,fCHL (μgL) (WS) SA,CL ID,Location,"Latitude (Decimal Degrees, NAD83)","Longitude (Decimal Degrees, NAD83)",Station Name,Station Abbrev.,Site Number,Subregion
4.784282588,2.472902219,33.19258411,53.50381549,A2129,Toe Drain Canal,38.400983,-121.621247, , ,,Cache Slough Complex
4.583942188,2.455514853,35.65380188,55.23578869,A2130,Toe Drain Canal,38.399627,-121.62189, , ,,Cache Slough Complex
5.368117178,2.513303402,32.77592507,54.64030648,A2131,Toe Drain Canal,38.398245,-121.622527, , ,,Cache Slough Complex
5.63737044,2.358245134,31.75612909,54.15758314,A2132,Toe Drain Canal,38.396917,-121.623181, , ,,Cache Slough Complex
5.187383465,2.381189698,34.37855807,55.86313523,A2133,Toe Drain Canal,38.395535,-121.623837, , ,,Cache Slough Complex
5.089565789,2.302659324,34.0425168,55.49795922,A2134,Toe Drain Canal,38.394169,-121.624452, , ,,Cache Slough Complex
4.841093548,2.255013287,33.4057673,54.31936378,A2135,Toe Drain Canal,38.392803,-121.625067, , ,,Cache Slough Complex
4.439395082,2.225251025,31.75127874,51.07524499,A2136,Toe Drain Canal,38.391452,-121.625692, , ,,Cache Slough Complex
5.250053333,2.172741949,29.85022865,49.1808944,A2137,Toe Drain Canal,38.39009,-121.626363, , ,,Cache Slough Complex
3.775044828,2.26855625,27.87656812,47.22162824,A2138,Toe Drain Canal,38.388718,-121.626978, , ,,Cache Slough Complex
4.888403448,2.33396,27.21147546,47.30248479,A2139,Toe Drain Canal,38.387372,-121.627552, , ,,Cache Slough Complex
5.005283871,2.367802218,27.22379789,49.23861829,A2140,Toe Drain Canal,38.385977,-121.628167, , ,,Cache Slough Complex
4.835751613,2.31680425,26.86905283,47.86585384,A2141,Toe Drain Canal,38.384612,-121.628796, , ,,Cache Slough Complex
5.6087,2.565407836,27.08995931,47.97454566,A2142,Toe Drain Canal,38.383249,-121.629422, , ,,Cache Slough Complex
5.557958462,2.449878077,26.3928963,48.31465199,A2143,Toe Drain Canal,38.381884,-121.630048, , ,,Cache Slough Complex
4.961586154,2.576671528,25.95463169,45.55910875,A2144,Toe Drain Canal,38.380521,-121.630674, , ,,Cache Slough Complex
4.79610303,2.681494808,26.20431382,44.79982852,A2145,Toe Drain Canal,38.379158,-121.631299, , ,,Cache Slough Complex
5.566012,2.512150694,27.09991242,46.44005933,A2146,Toe Drain Canal,38.377796,-121.631927, , ,,Cache Slough Complex
4.851105556,2.459232292,27.59881934,47.94466651,A2147,Toe Drain Canal,38.376432,-121.632557, , ,,Cache Slough Complex
4.917964,2.40568,27.60184386,47.12294792,A2148,Toe Drain Canal,38.37507,-121.633186, , ,,Cache Slough Complex
5.293508,2.420859375,27.22039943,46.83492673,A2149,Toe Drain Canal,38.373707,-121.633816, , ,,Cache Slough Complex
5.2575,2.517086957,26.99748817,46.40371308,A2150,Toe Drain Canal,38.372345,-121.634445, , ,,Cache Slough Complex
5.079316667,2.468186957,26.76414894,45.64330939,A2151,Toe Drain Canal,38.370981,-121.635075, , ,,Cache Slough Complex
4.734891667,2.4337975,26.8681051,45.5451332,A2152,Toe Drain Canal,38.369618,-121.635706, , ,,Cache Slough Complex
4.3245,2.49051087,27.18981503,45.88542863,A2153,Toe Drain Canal,38.368255,-121.63635, , ,,Cache Slough Complex
4.544996,2.413015,27.71307453,45.99194616,A2154,Toe Drain Canal,38.366897,-121.636994, , ,,Cache Slough Complex
3.8525,2.2792735,27.52421357,46.02549149,A2156,Toe Drain Canal,38.364182,-121.638287, , ,,Cache Slough Complex
4.85154,2.32255,27.53574921,46.23175389,A2157,Toe Drain Canal,38.362824,-121.638932, , ,,Cache Slough Complex
5.470215789,2.435121875,27.6593011,46.93189787,A2158,Toe Drain Canal,38.361467,-121.639566, , ,,Cache Slough Complex
4.913746154,2.471836058,27.90991576,47.37509263,A2159,Toe Drain Canal,38.360105,-121.640198, , ,,Cache Slough Complex
5.11006,2.3902765,28.17780193,47.60255367,A2160,Toe Drain Canal,38.358744,-121.64083, , ,,Cache Slough Complex
5.271307692,2.311500481,28.2623126,47.31979129,A2161,Toe Drain Canal,38.357381,-121.641463, , ,,Cache Slough Complex
5.1425,2.120328125,28.23219003,47.34015488,A2162,Toe Drain Canal,38.356019,-121.642096, , ,,Cache Slough Complex
5.200783871,2.166108203,28.52279061,47.57070801,A2163,Toe Drain Canal,38.354657,-121.642733, , ,,Cache Slough Complex
4.815274194,2.341157169,28.44177605,47.3885724,A2164,Toe Drain Canal,38.353222,-121.643403, , ,,Cache Slough Complex
6.342093333,2.504939113,29.1000656,48.68013245,A2165,Toe Drain Canal,38.351817,-121.644052, , ,,Cache Slough Complex
4.86262381,2.295599432,27.52734965,46.25995375,A2166,Toe Drain Canal,38.350478,-121.644629, , ,,Cache Slough Complex
5.2225875,2.293297321,28.74352495,49.88599157,A2168,Toe Drain Canal,38.347822,-121.645979, , ,,Cache Slough Complex
6.124513333,2.26448125,29.03049599,48.96513644,A2169,Toe Drain Canal,38.34657,-121.646715, , ,,Cache Slough Complex
5.538166667,2.48045625,28.2161251,48.29650885,A2170,Toe Drain Canal,38.345183,-121.647351, , ,,Cache Slough Complex
5.554726667,2.3824525,28.20988233,48.22857738,A2171,Toe Drain Canal,38.343822,-121.647959, , ,,Cache Slough Complex
5.454216667,2.445615,28.16587071,48.26767093,A2172,Toe Drain Canal,38.342478,-121.64862, , ,,Cache Slough Complex
4.9739,2.3694125,28.10808082,47.46541161,A2173,Toe Drain Canal,38.341098,-121.6492, , ,,Cache Slough Complex
4.517273333,2.3237725,27.72405881,46.46836576,A2174,Toe Drain Canal,38.339709,-121.649785, , ,,Cache Slough Complex
4.31518,2.2675375,27.21093715,45.93028389,A2175,Toe Drain Canal,38.338276,-121.650283, , ,,Cache Slough Complex
4.824246667,2.3751175,27.28107146,46.61878357,A2176,Toe Drain Canal,38.336852,-121.650756, , ,,Cache Slough Complex
5.9629,2.4998125,27.33945241,46.11419371,A2177,Toe Drain Canal,38.335419,-121.651149, , ,,Cache Slough Complex
6.3976,2.3490375,26.90393681,45.31072473,A2178,Toe Drain Canal,38.333988,-121.6515, , ,,Cache Slough Complex
4.102086885,1.930451103,18.65057741,37.76154884,A2179,Toe Drain Canal,38.332568,-121.651845, , ,,Cache Slough Complex
3.851742105,1.969692045,16.94499648,40.59889882,A2180,Toe Drain Canal,38.331143,-121.652191, , ,,Cache Slough Complex
5.009291837,2.048251563,18.53989022,39.37542607,A2181,Toe Drain Canal,38.329716,-121.652525, , ,,Cache Slough Complex
4.3815,2.051229847,19.05685834,39.98420253,A2182,Toe Drain Canal,38.328291,-121.652863, , ,,Cache Slough Complex
4.2939625,2.234153846,18.9776002,39.60650612,A2183,Toe Drain Canal,38.326868,-121.653204, , ,,Cache Slough Complex
4.327970968,2.15225957,18.5359142,39.06827192,A2184,Toe Drain Canal,38.325448,-121.653554, , ,,Cache Slough Complex
4.230703226,2.367802218,18.39989428,37.88336407,A2185,Toe Drain Canal,38.324022,-121.653895, , ,,Cache Slough Complex
4.279021212,2.213723529,17.7064589,36.57968805,A2186,Toe Drain Canal,38.322591,-121.654255, , ,,Cache Slough Complex
4.532461404,2.012693269,17.65639887,35.9071213,A2187,Toe Drain Canal,38.321158,-121.654586, , ,,Cache Slough Complex
4.271581356,2.195223517,17.78661647,36.02192275,A2188,Toe Drain Canal,38.319735,-121.654905, , ,,Cache Slough Complex
4.910522222,2.343581144,19.04177503,40.09889877,A2189,Toe Drain Canal,38.318316,-121.655234, , ,,Cache Slough Complex
5.458937143,2.358526429,18.82330712,39.01317225,A2190,Toe Drain Canal,38.31689,-121.655566, , ,,Cache Slough Complex
5.21609697,2.253784375,18.96212935,39.06298716,A2191,Toe Drain Canal,38.315466,-121.655907, , ,,Cache Slough Complex
5.266789552,2.258553977,18.28341629,35.89665983,A2192,Toe Drain Canal,38.314033,-121.656257, , ,,Cache Slough Complex
