Abbreviation,Description,Detection Range,Equation
HR,"High Resolution data collected in situ, see metadata for details",--,
DS,"Discrete Sampling, see metadata for details",--,
SUNA,Satlantic ISUS V3 nitrate sensor,--,
TLine,"Timberline Ammonium Analyzer Model 2800 modified for flowthrough capabilities, see process step 4 metadata for details",--,
WS,Wetlabs Wetstar Fluorometers; measures dissolved organic matter (fDOM) and chlorophyll (fCHL),--,
CStar ,C Star Instrument;  transmittence and beam transmissometer/attenuation at 650 nm,--,
TSG,"Seabird Model SB45 Thermosalinograph; measures temperature, conductivity, salinity",--,
EXO,"YSI EXO2 Multiprobe Sonde; measures temperature, specific conductance, turbidity, pH, DO, fCHL, fDOM",--,
FP,Fluoroprobe BBE Instrument; measures algal pigments,--,
DUV,Wetlabs Wetstar Fluorometer;,--,
SA,"Spatially Aligned data collected in situ, see metadata for details",--,
,,,
Parameter,,,
"Entity Type Definition: High resolution, in situ, unfiltered, in vivo fluorescence (IVF), water chemistry data from the Sacramento-San Joaquin Delta Study Area. All measurements were collected in the field.",,,
Timestamp (PST),"Date and time (YYYY-MM-DD hh:mm:ss), pacific standard time",,
"Latitude (Decimal Degrees, NAD83)","Garmin GPS16X-HVS, NAD 1983, decimal degrees",<15 meter accuracy,
"Longitude (Decimal Degrees, NAD83)","Garmin GPS16X-HVS, NAD 1983, decimal degrees",<15 meter accuracy,
NH4 (µM) (Tline) HR,"Ammonium, micromolar",LRL 0.01 mg/L,
NO3 (µM) (SUNA) HR ,"Nitrate plus nitrite, micromolar",up to 2000 µM,y=0.9739(uncorrected NO3 (µM) (SUNA) HR)-3.7003
estDIN (µM) HR,"Dissolved inorganic nitrogen, micromolar, sum of NH4 (?M) (Tline) HR and NO3 (?M) (SUNA) HR",0.17 µM - 36482.8 µM,
estTDN (µM) HR,"Estimated Total dissolved nitrogen [nitrate + nitrite + ammonium + organic-N], filtered, micromolar",LRL 0.05 mg/L,
Cond (µS/cm) (TSG) HR,"Conductivity, microsiemens per centimeter",0 to 7000 µS/cm,
DO (%sat) (EXO) HR,"Dissolved oxygen, percent of saturation",0 - 500%,
DO (mg/L) (EXO) HR,"Dissolved oxygen, milligrams per liter",0 - 50 mg/L,
fDOM (QSU) (EXO) HR,"Fluorescence of dissolved organic matter, quinine sulfate units (1 QSU = 1 part per billion quininie sulfate); corrected for turbidity and inner filter effects",0 to 300 QSU,
fDOM (QSU) (WS) HR,"Fluorescent dissolved organic matter, quinine sulfate equivalents; corrected for temperature, turbidity, and inner filter effect",up to 400 QSU,
estDOC (mg/L) HR,"Dissolved organic carbon, milligrams per liter; modeled based on fDOM, see metadata process step 3 for details",--,y = 0.070(fDOM (QSU) (WS) HR) + 0.394 
estDON (mg/L) HR,"Dissolved organic nitrogen, milligrams per liter; modeled based on fDOM, see metadata process step 3 for details",--,y = 0.3595(fDOM (QSU) (WS) HR) + 1.4605
pH (EXO) HR,"pH, standard units",0 - 14 units,
pH (mV) (EXO) HR,"pH, millivolts",-999 - 999 mV,
Salinity (PSU) (TSG) HR,"Salinity, practical salinity unit",0.01-0.10 PSU,
Sp Cond (µS/cm) (EXO) HR,"Specific conductance, microsiemens per centimeter at 25 degrees Celsius",120-195,
Temp (°C) (EXO) HR,"Temperature, degrees Celsius",-5 to 50 degC,
Temp (°C) (TSG) HR,"Temperature, degrees Celsius",-5 to 35 degC,
Turb (FNU) (EXO) HR,"Turbidity, formazin nephelometric units",0 - 4000 FNU,
C (1/m) (CStar) HR,"Beam transmissometer/attenuation at 650 nm, per meter",--,
Tr (%) (CStar) HR,"Transmittance, percent",0 - 100%,
