Timestamp (PST),Field ID,"Latitude (Decimal Degrees, NAD83)","Longitude (Decimal Degrees, NAD83)",Total Chla (µg/L) DS,Chla >5.0 micron (µg/L) DS,% Chla> 5.0 micron,Pheophytin (ug/L) DS,Pheophytin >5.0 microns (µg/L ) DS,HPLC Chla (µg/L) DS,HPLC Chlb (µg/L) DS,HPLC Fucoxanthin (µg/L) DS,HPLC Alloxanthin (µg/L) DS,HPLC Zeaxanthin (µg/L) DS,DOC (mg/L) DS,Phycocyanin (µg/L) DS,Allophycocyanin (µg/L) DS,Phycoerythrin (µg/L) DS,NH4 (µM) DS,NO2 (µM) DS,NO2 + NO3 (µM) DS,PO4 (µM) DS,TDN (µM) DS,DON Calc (µM) DS,DIN Calc (µM) DS,H2O Delta 18O (‰) DS,H2O Delta 2H (‰) DS,NO3 Delta 15N (‰) DS,NO3 Delta 18O (‰) DS,NH4 Delta 15N (‰) DS,DOM Delta 13C (‰) DS,DOM Delta 15N (‰) DS,DOM Delta 34S (‰) DS,DOM C:N Ratio (AT),DOM C:S Ratio (AT),POM Delta 13C (‰) DS,POM Delta 15N (‰) DS,POM C:N Ratio (AT),POM %C (Wt.),POM %N (Wt.),DOM %C (Wt.),DOM %N (Wt.),DOM %S (Wt.),DOM N:S Ratio (AT),UV Slope Ratio,A254 (AU/cm) DS,A280 (AU/cm) DS,A350 (AU/cm) DS,A370 (AU/cm) DS,A412 (AU/cm) DS,A440 (AU/cm) DS,A488 (AU/cm) DS,A510 (AU/cm) DS,A532 (AU/cm) DS,A555 (AU/cm) DS,Sag 275-295 nm DS,Sag 290-350 nm DS,Sag 350-400 nm DS,Sag 412-600 nm DS,Peak A (RU) DS,Peak B (RU) DS,Peak T (RU) DS,Peak N (RU) DS,Peak M (RU) DS,Peak C (RU) DS,Peak D (RU) DS,Peak fDOM (RU) DS,FI DS,HIX DS,OMRL HI Ohno 2008,Picocyanobacteria aliquot (mL) DS,Picocyanobacteria PC-Rich Tally DS,Picocyanobacteria PC-Rich Density (cells/L) DS,Picocyanobacteria PE-Rich Tally DS,Picocyanobacteria PE-Rich Density (cells/L) DS,Picocyanobacteria Total Tally DS,Picocyanobacteria Total Density (cells/L)  DS
2017-10-11 10:15:00,CCH,38.21318,-121.66885,0.8473,0.5381,0.6351,1.2428,0.5348,1.1460,0.0880,0.2270,0.0580,0.0190,1.8758,,,,14.4922,1.0209,12.0649,1.7369,34.4100,6.8320,26.5571,-10.9500,-77.3200,4.8957,-4.6638,10.9712,-28.1072,3.1294,2.6598,24.0136,162.0694,-26.7306,3.0374,9.0869,0.6718,0.0863,36.7489,1.7854,0.6065,6.7491,1.0448,0.0451,0.0322,0.0096,0.0068,0.0036,0.0024,0.0014,0.0012,0.0010,0.0009,0.0186,0.0171,0.0178,0.0094,0.2986,0.1317,0.1046,0.1205,0.1645,0.1701,0.0628,0.1178,1.5801,0.0261,0.7731,,,,,,,
2017-10-11 11:30:00,TOE,38.34356,-121.64723,2.0062,0.3493,0.1741,0.4941,0.2818,1.2860,0.0940,0.1680,0.1110,0.0580,2.2379,3.4476,5.4460,3.3334,1.8847,0.3919,3.5695,1.9468,15.5630,10.1088,5.4542,-10.2100,-74.5000,4.6763,-3.0959,,-27.5700,10.6400,1.1732,25.5095,203.8016,-25.4525,5.0960,7.7163,0.8452,0.1278,42.2000,1.9300,0.5539,7.9892,1.1238,0.0652,0.0483,0.0148,0.0106,0.0055,0.0038,0.0023,0.0019,0.0016,0.0015,0.0187,0.0164,0.0166,0.0091,0.4442,0.5423,0.1874,0.1791,0.2300,0.2335,0.0929,0.1623,1.5491,0.0410,0.7116,,,,,,,
2017-10-11 14:20:00,LCT,38.3293,-121.66718,1.9826,0.6536,0.3297,1.4645,0.6535,2.2350,0.1320,0.1460,0.3040,0.1300,3.1276,,,0.5940,0.3570,0.0357,1.4278,3.3899,14.2066,12.4219,1.7848,-9.4300,-68.0400,,,,-27.9200,6.4100,-2.1506,21.0224,174.9942,-29.0070,5.8277,7.6258,0.7810,0.1195,37.4800,2.0800,0.5729,8.3242,1.0301,0.0893,0.0654,0.0202,0.0144,0.0071,0.0047,0.0025,0.0020,0.0016,0.0014,0.0179,0.0164,0.0174,0.0122,0.6303,0.3900,0.1871,0.2217,0.3152,0.3403,0.1341,0.2393,1.5545,0.0616,0.7891,,,,,,,
2017-10-11 14:40:00,SHG,38.32017,-121.693485,5.0746,1.5625,0.3079,,0.8845,4.4960,0.2380,0.5350,0.4530,0.1360,5.1536,0.7216,3.3844,1.5995,1.1994,0.1849,1.4278,6.4247,26.2001,23.3881,2.6272,-8.6500,-64.6200,,,,-29.6500,3.2900,-2.1696,16.8488,133.9056,-31.8334,5.1931,7.6712,0.7788,0.1184,31.0500,2.1500,0.6203,7.9475,0.9625,0.1547,0.1155,0.0385,0.0277,0.0140,0.0093,0.0049,0.0039,0.0032,0.0026,0.0161,0.0154,0.0168,0.0121,1.0386,0.1399,0.2355,0.3477,0.5290,0.6075,0.2388,0.4343,1.6028,0.1133,0.8619,,,,,,,
2017-10-11 15:10:00,SCC,38.25896,-121.69161,1.6050,0.5098,0.3176,1.8664,0.7865,1.4190,0.1630,0.1460,0.1100,0.0370,1.9416,,,,7.4246,0.9638,9.0665,1.8661,25.8432,8.3883,16.4911,-10.5800,-74.9300,4.5749,-4.6090,10.6400,-27.8291,12.9649,0.9940,29.1458,213.6821,-26.0349,4.1744,8.4907,0.4189,0.0576,38.7658,1.5517,0.4853,7.3315,1.0133,0.0557,0.0410,0.0130,0.0088,0.0046,0.0030,0.0017,0.0014,0.0012,0.0011,0.0186,0.0161,0.0184,0.0101,0.3751,0.9387,0.2038,0.1585,0.1991,0.2012,0.0796,0.1415,1.6023,0.0342,0.6115,,,,,,,
2017-10-11 15:45:00,UCS,38.27158,-121.70559,2.1384,0.3682,0.1722,,0.3358,1.4110,0.0740,0.0850,0.1540,0.0760,2.0690,,,,5.0187,0.7782,7.4960,1.9274,20.9173,7.6245,12.5147,-10.5300,-76.8100,4.4021,-4.7092,11.4600,-28.1827,11.2139,0.5313,25.2241,191.8246,-28.1028,2.7213,7.8635,0.3732,0.0554,40.1457,1.8568,0.5598,7.6048,1.1225,0.0596,0.0450,0.0134,0.0094,0.0049,0.0035,0.0022,0.0017,0.0018,0.0015,0.0193,0.0169,0.0172,0.0081,0.4001,1.0589,0.2608,0.1852,0.2297,0.2166,0.0830,0.1488,1.5453,0.0373,0.5899,,,,,,,
2017-10-11 16:10:00,LIB,38.24347,-121.68304,1.2769,0.8072,,0.2500,0.2366,2.0880,0.2340,0.2170,0.0980,0.0390,1.8545,2.7581,4.3568,2.6668,9.4949,1.0066,9.7804,1.7014,27.5565,7.2746,19.2753,-10.7100,-76.5900,4.4221,-5.0590,11.6614,-28.2209,8.8008,2.8655,22.7812,175.4463,-22.7272,6.2895,5.6492,1.1407,0.2356,35.8895,1.8380,0.5472,7.7014,1.0764,0.0532,0.0398,0.0120,0.0086,0.0044,0.0031,0.0018,0.0015,0.0013,0.0012,0.0180,0.0174,0.0167,0.0092,0.3643,0.2019,0.1893,0.1781,0.2303,0.1951,0.0724,0.1348,1.5469,0.0312,0.7574,,,,,,,
2017-10-11 16:15:00,LIB REP,38.2434,-121.68217,1.5318,0.3304,0.2157,0.2184,0.6794,1.6980,0.1810,0.1530,0.0910,0.0340,1.8697,,,0.8316,9.7090,1.0066,9.7804,1.7240,27.2710,6.7749,19.4895,-10.7500,-77.1300,4.7885,-4.2600,12.2698,-28.0361,9.8555,1.6271,25.0348,189.6839,-26.4891,5.5176,8.9861,0.4540,0.0589,40.0971,1.8686,0.5655,7.5768,1.0582,0.0511,0.0373,0.0114,0.0082,0.0042,0.0028,0.0016,0.0014,0.0012,0.0010,0.0183,0.0167,0.0173,0.0099,0.3548,0.1563,0.1130,0.1344,0.1830,0.1928,0.0737,0.1349,1.5712,0.0324,0.8095,,,,,,,
2017-10-11 16:50:00,DWS,38.34154,-121.64422,2.0534,1.3610,0.6628,1.5393,0.6630,3.5860,0.1490,0.4750,0.2240,0.1830,2.1954,1.2484,,0.4043,1.6562,0.2541,6.6393,2.8572,19.0611,10.5115,8.2955,-8.9900,-67.5300,4.9458,-4.5192,,-27.9300,10.4500,2.8369,25.7694,223.1070,-28.1857,5.9532,8.3029,0.7748,0.1089,42.6300,1.9300,0.5111,8.6578,1.1216,0.0589,0.0417,0.0115,0.0081,0.0040,0.0027,0.0014,0.0011,0.0009,0.0008,0.0201,0.0182,0.0179,0.0119,0.4307,0.0647,0.1165,0.1619,0.2216,0.2157,0.0826,0.1499,1.5158,0.0388,0.8407,,,,,,,
2017-10-11 17:20:00,DWS1,38.25762,-121.66717,1.7584,0.7725,0.4393,,0.6252,1.3700,0.0980,0.1760,0.0680,0.0330,1.7449,,,,11.6366,0.9281,10.6371,1.7628,29.1271,6.8534,22.2737,-10.7800,-76.2000,4.5396,-5.2124,10.3454,-27.9934,8.8225,2.3192,25.5379,182.8977,-26.3347,4.1531,8.6057,0.6173,0.0837,41.7873,1.9090,0.6112,7.1618,1.0569,0.0489,0.0362,0.0107,0.0076,0.0039,0.0027,0.0016,0.0013,0.0011,0.0011,0.0188,0.0170,0.0178,0.0090,0.3226,0.3470,0.1297,0.1399,0.1761,0.1797,0.0692,0.1260,1.6216,0.0296,0.7228,,,,,,,
2017-10-11 17:45:00,CCH,38.21338,-121.66862,1.0786,0.8108,0.7517,0.6522,1.0570,1.3800,0.1680,0.2040,0.0600,0.0200,1.6278,1.2484,,1.7903,15.0633,1.0780,11.9935,1.7466,32.6966,5.6398,27.0568,-10.9900,-77.2600,4.5973,-4.7108,10.0482,-27.9766,7.2329,2.8092,23.8147,162.1724,-26.5176,3.4220,9.1232,0.5484,0.0701,37.2188,1.8233,0.6139,6.8097,1.0291,0.0451,0.0330,0.0100,0.0070,0.0035,0.0024,0.0014,0.0012,0.0011,0.0010,0.0189,0.0166,0.0183,0.0089,0.2978,0.4322,0.1275,0.1201,0.1694,0.1697,0.0633,0.1215,1.6177,0.0289,0.6980,,,,,,,
2018-05-30 08:25:00,CCH,38.2123,-121.66624,1.7726,0.4107,0.2317,0.0942,0.4195,0.8900,0.0950,0.1280,0.0660,0.0520,1.9290,,,5.1975,16.3483,2.2345,17.2764,2.3342,41.6918,8.0671,33.6247,-10.6300,-76.3200,4.7605,-5.5426,12.1799,-28.2779,2.2263,1.9291,19.0582,153.5231,-26.8795,2.9778,9.9820,0.8005,0.0936,35.9853,2.2029,0.6270,8.0555,0.9904,0.0505,0.0362,0.0106,0.0074,0.0035,0.0022,0.0011,0.0008,0.0006,0.0005,0.0187,0.0173,0.0189,0.0143,0.4286,0.1965,0.1327,0.1636,0.2173,0.2093,0.0761,0.1394,1.5420,0.0318,0.7840,6.0000,277.0000,28128370.7071,35.0000,3554126.2626,312.0000,31682496.9697
2018-05-30 09:00:00,MIN,38.25469,-121.65537,1.2982,0.8886,0.6845,1.2508,0.8964,1.4620,0.0980,0.3370,0.0600,0.0420,1.7127,,,,32.9108,0.8638,9.6377,2.3503,51.9005,9.3521,42.5484,-10.9200,-78.2600,4.3136,-4.1024,8.7181,-27.8828,8.7615,1.9415,24.0505,167.1819,-27.1374,2.1752,10.9429,0.8922,0.0951,41.3068,2.0038,0.6609,6.9513,1.6364,0.0709,0.0560,0.0273,0.0233,0.0182,0.0158,0.0134,0.0117,0.0119,0.0111,0.0116,0.0099,0.0071,0.0028,0.3759,0.1925,0.1651,0.1575,0.1957,0.2318,0.0724,0.1520,1.6865,0.0425,0.7655,5.1000,215.0000,21190357.8431,132.0000,13009894.1176,347.0000,34200251.9608
2018-05-30 09:50:00,LIB,38.24308,-121.68375,1.4492,0.3682,0.2541,0.7744,0.3067,1.1840,0.0680,0.1620,0.0590,0.0810,1.9142,,,,15.7058,2.1131,16.4911,2.3600,41.8345,7.5245,32.1969,-10.4900,-75.3300,4.2839,-5.7964,12.8780,-27.9097,5.5163,1.4785,18.9106,180.1135,-26.9940,2.2910,8.5202,0.9874,0.1352,39.9186,2.4627,0.5929,9.5245,0.9959,0.0522,0.0375,0.0111,0.0078,0.0038,0.0024,0.0012,0.0010,0.0008,0.0006,0.0186,0.0171,0.0187,0.0132,0.4271,0.1449,0.1285,0.1582,0.2162,0.2162,0.0776,0.1444,1.5575,0.0348,0.8186,5.0000,259.0000,23670480.9091,62.0000,5666292.7273,321.0000,29336773.6364
2018-05-30 10:10:00,FRI,38.27001,-121.69325,2.0770,0.3163,0.1523,0.8846,0.3100,1.6450,0.1660,0.1160,0.1540,0.2040,2.6520,,,,2.5700,1.6063,10.9941,3.0897,29.4127,14.2423,13.5641,-9.6700,-70.6800,5.3488,-4.7217,6.2100,-28.1500,0.1500,-1.0526,19.4363,166.7421,-26.6351,5.3317,7.9916,1.0210,0.1490,31.8200,1.9100,0.5105,8.5789,1.0262,0.0720,0.0520,0.0154,0.0108,0.0053,0.0034,0.0018,0.0014,0.0011,0.0009,0.0187,0.0171,0.0183,0.0128,0.5924,0.3331,0.1909,0.2298,0.3010,0.2879,0.1038,0.1965,1.5394,0.0442,0.7896,5.0000,467.0000,187791908.0000,2.0000,804248.0000,469.0000,188596156.0000
2018-05-30 10:30:00,SSB,38.303075,-121.69281,4.1305,0.4012,0.0971,,0.3173,2.6180,0.1360,0.0700,0.3590,0.2930,4.5987,16.0924,2.1297,,0.3570,0.1421,1.4278,6.5861,25.4862,23.5594,1.7848,-7.6900,-58.7700,,,,-29.0200,7.0900,-3.6427,18.7514,144.6035,-31.0330,5.3210,7.6923,0.8456,0.1282,28.7700,1.7900,0.5322,7.7116,1.0163,0.1300,0.0945,0.0285,0.0202,0.0098,0.0063,0.0032,0.0024,0.0019,0.0015,0.0182,0.0168,0.0179,0.0135,1.0393,0.1737,0.2415,0.3616,0.5085,0.5330,0.1975,0.3599,1.5704,0.0869,0.8519,5.0000,367.0000,147579508.0000,10.0000,4021240.0000,377.0000,151600748.0000
2018-05-30 11:00:00,LCT,38.33035,-121.66728,2.2753,0.3540,0.1556,0.9679,0.9447,1.3240,0.1240,0.1470,0.1160,0.1450,4.0280,18.7266,,,0.9352,0.1342,1.4278,6.2633,23.0590,20.5617,2.3630,-8.1500,-62.9600,,,,-28.4500,7.3800,-1.7808,19.3820,153.9260,-25.9769,5.1943,8.5232,0.8377,0.1147,40.3700,2.4300,0.7016,7.9417,1.0277,0.1117,0.0812,0.0242,0.0171,0.0084,0.0054,0.0028,0.0022,0.0017,0.0014,0.0184,0.0170,0.0179,0.0130,0.9277,0.1473,0.2394,0.3309,0.4479,0.4581,0.1713,0.3133,1.5532,0.0798,0.8515,5.3000,284.0000,97944439.1081,34.0000,11725742.7101,318.0000,109670181.8182
2018-05-30 11:45:00,TOE,38.34384,-121.64726,0.6892,0.1209,0.1754,2.3404,0.6832,1.0730,0.0730,0.1160,0.0890,0.1310,3.5115,,,,1.8704,0.6068,5.2829,4.2616,23.7729,16.6196,7.1533,-8.5400,-64.1800,6.4712,-4.5028,,-28.4500,6.5400,-3.2516,19.0386,129.3737,-26.2410,5.1166,9.0833,1.5078,0.1937,37.3700,2.2900,0.7727,6.7953,1.0489,0.0976,0.0708,0.0211,0.0149,0.0074,0.0048,0.0025,0.0019,0.0016,0.0013,0.0186,0.0170,0.0178,0.0129,0.7695,0.1777,0.2044,0.2806,0.3899,0.3838,0.1429,0.2621,1.5871,0.0684,0.8360,5.1000,315.0000,103487794.1176,1.0000,328532.6797,316.0000,103816326.7974
2018-05-30 12:15:00,PCT,38.239695,-121.68237,3.7765,0.5944,0.1574,2.6323,1.3116,6.2330,1.1760,0.8220,0.1460,0.4640,2.7628,,,,2.5915,0.3355,5.2115,5.4562,26.1287,17.9903,7.8029,-9.5200,-70.1200,5.9554,-4.6913,9.7000,-27.4900,9.5800,-0.3299,22.8364,135.3960,-26.3743,5.8760,9.2310,1.2070,0.1525,42.2800,2.1600,0.8353,5.9290,1.0586,0.0749,0.0542,0.0162,0.0115,0.0057,0.0038,0.0020,0.0016,0.0013,0.0011,0.0188,0.0169,0.0178,0.0117,0.6073,0.2420,0.1978,0.2424,0.3018,0.2937,0.1131,0.2064,1.6108,0.0495,0.8038,3.0000,354.0000,237253160.0000,25.0000,16755166.6667,379.0000,254008326.6667
