CL ID,"Latitude (Decimal Degrees, NAD83)","Longitude (Decimal Degrees, NAD83)",Location,Subregions,"Time Period (Month, Year)",NH4 (?M) (Tline) SA,NO3 (?M) (SUNA) SA,DIN (µM) SA,estDON (?M) SA,TDN (µM) SA,estDOC (mg/L) SA,fDOM (QSU) (WS) SA,fCHL (?g/L) (WS) SA, Temp (?C) (TSG) SA, Cond (?S/cm) (TSG) SA, Salinity (PSU) (TSG) SA, Temp (?C) (EXO) SA,Sp Cond (?S/cm) (EXO) SA,pH (EXO) SA,DO (mg/L) (EXO) SA,DO (%) (EXO) SA,Turb (FNU) (EXO) SA,fDOM (QSU) (EXO) SA,fCHL (?g/L) (EXO) SA,Bluegreen (?g/L) (EXO) SA,Green Algae (?g/L) (FP) SA,Bluegreen (?g/L) (FP) SA,Diatoms (?g/L) (FP) SA,Cryptophyta (?g/L) (FP) SA,Total Conc (?g/L) (FP) SA,? (days) (Picarro) SA
A684,38.146499,-121.688278,Sacramento River,Western Delta Tidal Zone,May 2018,17.64915,17.07837,34.20128,9.308354,43.51613,1.922094,21.82992,3.069274,20.71511,133.7316,0.071846,20.69205,145.6345,7.542362,8.786394,97.99226,5.706602,20.87739,0.438909,0.040417,1.298991,0.663588,0.676807,0,2.620658,1.100142
A682,38.149323,-121.687423,Sacramento River,Western Delta Tidal Zone,May 2018,17.64369,17.08664,34.19504,9.311391,43.51206,1.922685,21.83836,3.064587,20.71399,133.7749,0.07187,20.69032,145.6901,7.542297,8.758297,97.67094,5.738908,20.89174,0.436906,0.03886,1.289842,0.6545,0.673743,0,2.602026,1.175187
A680,38.152093,-121.686369,Sacramento River,Western Delta Tidal Zone,May 2018,17.64097,17.19279,34.21582,9.313175,43.5337,1.923033,21.84332,3.062203,20.71929,133.8761,0.071916,20.69494,145.7589,7.542495,8.822887,98.3946,5.872925,20.87191,0.43795,0.035646,1.278977,0.62109,0.669956,0,2.563774,1.436272
A678,38.154962,-121.685628,Sacramento River,Western Delta Tidal Zone,May 2018,17.65193,17.10483,34.21073,9.319886,43.53308,1.92434,21.86199,3.048306,20.71085,133.9134,0.071945,20.68496,145.8542,7.542392,8.644223,96.38511,5.841269,20.94559,0.431385,0.034042,1.266296,0.629753,0.664919,0,2.556052,1.389854
A676,38.157555,-121.683731,Sacramento River,Western Delta Tidal Zone,May 2018,17.68517,16.89541,34.19931,9.332226,43.53292,1.926742,21.89631,3.023697,20.69166,133.9161,0.07197,20.66499,145.9882,7.541627,8.404139,93.68189,5.666521,21.0666,0.418748,0.035651,1.257002,0.674362,0.659663,0,2.577793,1.10569
A674,38.159559,-121.680992,Sacramento River,Western Delta Tidal Zone,May 2018,17.68188,16.60922,34.12296,9.349674,43.47302,1.93014,21.94485,2.987932,20.66364,133.9013,0.071995,20.63662,146.1713,7.540686,8.105126,90.30295,5.407666,21.21303,0.403353,0.039589,1.253107,0.738922,0.644523,0,2.615504,0.801816
A672,38.161903,-121.678815,Sacramento River,Western Delta Tidal Zone,May 2018,17.64724,16.35504,34.00198,9.370085,43.37148,1.934114,22.00163,2.943255,20.63399,133.9154,0.072039,20.60651,146.4431,7.539923,7.861744,87.5346,5.193199,21.31643,0.393235,0.044903,1.258599,0.796835,0.612207,0,2.646687,0.6389
A670,38.164247,-121.676545,Sacramento River,Western Delta Tidal Zone,May 2018,17.56721,16.28681,33.85398,9.402942,43.25716,1.940512,22.09302,2.865266,20.59995,134.1297,0.072198,20.57349,147.0364,7.539045,7.901968,87.91178,5.120868,21.33973,0.374704,0.049895,1.24549,0.824697,0.557016,0,2.640117,1.155138
A668,38.16706,-121.675362,Sacramento River,Western Delta Tidal Zone,May 2018,17.58063,16.27354,33.85658,9.426016,43.28288,1.945005,22.15721,2.818614,20.58216,134.3641,0.072343,20.5542,147.4845,7.536814,7.888187,87.72614,5.116867,21.39008,0.361066,0.049965,1.230006,0.823075,0.526496,0,2.599303,1.431359
A666,38.169569,-121.673563,Sacramento River,Western Delta Tidal Zone,May 2018,17.59315,16.28798,33.88113,9.456124,43.33791,1.950867,22.24096,2.773723,20.56627,134.6675,0.072514,20.53455,148.036,7.534292,7.879052,87.59605,5.111323,21.5024,0.340439,0.047396,1.17834,0.771356,0.516917,0,2.474808,1.687828
