Timestamp (PST) DS	Station Abbrev. DS	Station ID DS	Chla (ug/L) DS	Chla (ug/L) Rmk DS	Pheophytin (ug/L) DS	Pheophytin (ug/L) Rmk DS	NH4 (mg-N/L) DS lab reported	NH4 Rmk DS	NO2 (mg-N/L) DS lab reported	NO2 Rmk DS	NO2+NO3 (mg-N/L) DS lab reported	NO2+NO3 Rmk DS	TDN (mg-N/L) DS lab reported	TDN Rmk DS	PO4 (mg-P/L) DS lab reported	PO4 Rmk DS	NO2 (uM) DS	NO2+NO3 (uM) DS	NH4 (uM) DS	TDN (uM) DS	PO4 (uM) DS	estDON (uM) DS	estDIN (uM) DS	Water Delta 18O (per mil) DS	Water Delta 2H (per mil) DS	DOC (mg-C/L) DS	A254 (AU/cm) DS	A254 Rmk DS	A280 (AU/cm) DS	A280 Rmk DS	A350 (AU/cm) DS	A350 Rmk DS	A370 (AU/cm) DS	A370 Rmk DS	A412 (AU/cm) DS	A412 Rmk DS	A440 (AU/cm) DS	A440 Rmk DS	A488 (AU/cm) DS	A488 Rmk DS	A510 (AU/cm) DS	A510 Rmk DS	A532 (AU/cm) DS	A532 Rmk DS	A555 (AU/cm) DS	A555 Rmk DS	A650 (AU/cm) DS	A650 Rmk DS	A676 (AU/cm) DS	A676 Rmk DS	A715 (AU/cm) DS	A715 Rmk DS	Sag 275-295 nm DS	Sag 290-350 nm DS	Sag 350-400 nm DS	Sag 412-676 nm DS	UV Slope Ratio DS	Peak A (RU) DS	Peak A Rmk DS	Peak C (RU) DS	Peak C Rmk DS	Peak M (RU) DS	Peak M Rmk DS	Peak D (RU) DS	Peak D Rmk DS	Peak B (RU) DS	Peak B Rmk DS	Peak T (RU) DS	Peak T Rmk DS	Peak N (RU) DS	Peak N Rmk DS	Peak fDOM (RU) DS	Peak fDOM Rmk DS	QBDJFex420em460 result	QBDJFex420em460 Qual	FI DS	HIX DS	HIX Rmk DS	Picophytoplankton PC-Rich Sphere Tally DS	Picophytoplankton PE-Rich Sphere Tally DS	Picophytoplankton PC-Rich Sphere Density (cells/mL) DS	Picophytoplankton PE-Rich Sphere Density (cells/mL) DS	Picophytoplankton PC-Rich Sphere Total Biovolume (um3/mL) DS	Picophytoplankton PE-Rich Sphere Total Biovolume (um3/mL) DS
7/22/2021 9:09	MIN	381514121392101	2.1		1.7		0.02	<	0.002		0.16		0.25		0.032		0.14	11.42	0.71	17.85	1.03	5.71	12.14	-10.95	-82.4	3.39	0.03		0.02		0.00		0.00	E	0.00	<	0.00	<	0.00	<	0.00	<	0.00	<	0.00	<	0.00	<	0.00	<	0.00	<	0.02	0.02	0.02	-0.02	0.89	0.20		0.11		0.12		0.04		0.03	<	0.07		0.09		0.08		0.02		1.57	0.77	<	80	208	1608496	4182089.6	3368823.299	560572.197
7/22/2021 9:33	1	20210722-1																						-9.84	-74.47																																																											
7/22/2021 9:41	2	20210722-2																						-9.04	-69.89																																																											
7/22/2021 9:52	DWS62	11455142	4.2		2.6		0.02	<	0.003		0.17		0.31		0.112		0.21	12.14	0.71	22.13	3.62	9.28	12.85	-7.94	-62.6	2.33	0.07		0.05		0.01		0.01		0.01		0.00		0.00	E	0.00	E	0.00	E	0.00	E	0.00	E	0.00	E	0.00	<	0.02	0.02	0.01	0.01	1.30	0.49		0.24		0.27		0.11		0.05		0.12		0.19		0.17		0.06		1.46	0.85	<	184	568	3699540.8	11420321.6	7748293.588	1530793.307
7/22/2021 10:10	3	20210722-3																						-7.44	-62.01																																																											
7/22/2021 11:16	4	20210722-4																						-9.34	-71.46																																																											
7/22/2021 11:30	LCT	11455146	1.6		1.4		0.02	<	0.001	<	0.01	<	0.25		0.16		0.04	0.36	0.71	17.85	5.16	16.78	1.07	-8.3	-65.3	3.89	0.10		0.08		0.02		0.02		0.01		0.00	E	0.00	E	0.00	E	0.00	E	0.00	E	0.00	<	0.00	<	0.00	<	0.02	0.02	0.02	0.02	0.99	0.82		0.43		0.42		0.18		0.03		0.18		0.29		0.30		0.08		1.50	0.88		124	468	4986337.6	18819403.2	15226407.55	7183426.141
7/22/2021 11:47	SSB	11455276	3.5		1.3		0.02	<	0.001		0.01	<	0.25		0.2		0.07	0.36	0.71	17.85	6.46	16.78	1.07	-8.2	-65.9	4.14	0.11		0.08		0.03		0.02		0.01		0.01		0.00	E	0.00	E	0.00	E	0.00	E	0.00	<	0.00	<	0.00	<	0.02	0.02	0.02	0.02	0.97	0.87		0.46		0.45		0.19		0.01	<	0.18		0.31		0.32		0.08		1.50	0.88		160	522	3216992	10495436.4	4137757.217	2003070.751
7/22/2021 12:12	LIB	11455315	1.9		1.7		0.02	<	0.002		0.03		0.19		0.087		0.14	2.14	0.71	13.56	2.81	10.71	2.86	-9.66	-74.5	2.26	0.06		0.04		0.01		0.01		0.00		0.00	E	0.00	E	0.00	E	0.00	E	0.00	E	0.00	<	0.00	<	0.00	<	0.02	0.02	0.02	0.01	1.06	0.45		0.23		0.23		0.10		0.03	<	0.11		0.18		0.16		0.04		1.47	0.86	<	26	400	261380.6	4021240	1094867.572	1078023.456
7/22/2021 12:31	5	20210722-5																						-9.02	-69.36																																																											
7/22/2021 12:39	6	20210722-6																						-8.75	-67.87																																																											
7/22/2021 12:45	TOE	11455140	0.8		0.9		0.02	<	0.001		0.01		0.24		0.161		0.07	0.71	0.71	17.13	5.20	15.71	1.43	-8.78	-70.1	3.16	0.08		0.06		0.02		0.01		0.01		0.00	E	0.00	E	0.00	E	0.00	E	0.00	E	0.00	<	0.00	<	0.00	<	0.02	0.02	0.02	0.02	1.05	0.62		0.31		0.33		0.14		0.03	<	0.16		0.25		0.23		0.06		1.50	0.86		27	376	1085734.8	15119862.4	4547911.454	5771299.635
7/22/2021 13:33	7	20210722-7																						-9.81	-74.07																																																											
7/22/2021 13:39	8	20210722-8																						-9.72	-72.8																																																											
7/22/2021 13:47	HAAS	381819121435001	12.3		4.2		0.02	<	0.004		0.01	<	0.21		0.1		0.29	0.36	0.71	14.99	3.23	13.92	1.07	-9.27	-71	2.79	0.07		0.05		0.01		0.01		0.00		0.00	E	0.00	E	0.00	E	0.00	E	0.00	E	0.00	<	0.00	<	0.00	<	0.02	0.02	0.02	0.02	1.04	0.53		0.27		0.29		0.11		0.05		0.16		0.23		0.19		0.05		1.55	0.84	<	378	256	7600143.6	5147187.2	9775451.425	982348.874
7/22/2021 14:17	CCH41	11455385	1.9		1.7		0.02	<	0.003		0.1		0.23		0.059		0.21	7.14	0.71	16.42	1.90	8.57	7.85	-10.25	-76.9	1.84	0.04		0.03		0.01		0.01		0.00	E	0.00	E	0.00	E	0.00	<	0.00	<	0.00	<	0.00	<	0.00	<	0.00	<	0.02	0.02	0.02	0.02	1.02	0.34		0.17		0.18		0.07		0.04		0.10		0.14		0.12		0.03		1.54	0.82	<	58	662	1166159.6	13310304.4	1780507.334	2540292.791
9/28/2021 12:23	01	20210928-01																						-10.65	-77.97																																																											
9/28/2021 12:29	02	20210928-02																						-11	-79.38																																																											
9/28/2021 12:37	MIN	381514121392101	0.9		0.5		0.02	<	0.001	<	0.15		0.29		0.035		0.04	10.71	0.71	20.70	1.13	9.28	11.42	-11.12	-81.7	1.32	0.03		0.02		0.01		0.00		0.00	<	0.00	E	0.00	<	0.00	<	0.00	<	0.00	<	0.00	<	0.00	<	0.00	<	0.02	0.02	0.02	0.02	0.97	0.19		0.11		0.12		0.04		0.11		0.12		0.10		0.08		0.02		1.58	0.73		6	368	60318.6	3699540.8	252661.7474	991781.5793
9/28/2021 13:03	03	20210928-03																						-11.08	-83.35																																																											
9/28/2021 13:13	04	20210928-04																						-9.68	-74.05																																																											
9/28/2021 13:17	05	20210928-05																						-8.98	-70.35																																																											
9/28/2021 13:20	DWS62	11455142	5.2		1.9		0.02	<	0.001		0.06		0.3		0.091		0.07	4.28	0.71	21.42	2.94	16.42	5.00	-8.67	-67.6	1.98	0.12		0.09		0.04		0.03		0.02		0.02		0.01		0.01		0.01		0.01		0.00	E	0.00	E	0.00	E	0.01	0.01	0.01	0.01	1.49	0.49		0.23		0.28		0.10		0.28		0.25		0.24		0.16		0.07		1.54	0.74		68	395	2734443.2	15883898	8349965.429	4929390.267
9/28/2021 13:45	06	20210928-06																						-10.14	-76.37																																																											
9/28/2021 13:53	07	20210928-07																						-9.92	-74.97																																																											
9/28/2021 13:59	08	20210928-08																						-9.54	-71.8																																																											
9/28/2021 14:04	TOE	11455140	1.6		0.9		0.12		0.001	<	0.01		0.38		0.096		0.04	0.71	8.57	27.13	3.10	17.85	9.28	-9.3	-70.9	2.94	0.11		0.08		0.03		0.02		0.01		0.01		0.01		0.01		0.00	E	0.00	E	0.00	E	0.00	E	0.00	E	0.02	0.01	0.01	0.01	1.24	0.57		0.30		0.33		0.12		0.17		0.33		0.31		0.21		0.06		1.54	0.77		48	448	965097.6	9007577.6	2947046.622	2999864.381
9/28/2021 14:34	09	20210928-09																						-9.24	-71.27																																																											
