"Citation: Graham, J.L., Dubrovsky, N.M., Loftin, K.A., Rosen, B.H., and Stelzer, E.A., 2021, Cyanotoxin, chlorophyll-a, and cyanobacterial toxin genetic data for samples collected at eleven large river sites throughout the United States, June through October 2018: U.S. Geological Survey data release, https://doi.org/10.5066/P98RPC1E.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS Station ID,USGS Station Name,Sample Date,Sample Time,Sample Type,Data qualifiers for Total microcystins plus nodularins,Total microcystins plus nodularins (ug/L),Data qualifiers for Total cylindrospermopsins,Total cylindrospermopsins (ug/L),Data qualifiers for Total saxitoxins,Total saxitoxins (ug/L),Data qualifiers for Anatoxin-a (method IMM24),Anatoxin-a (method IMM24) (ug/L),Data qualifiers for Chlorophyll-a,Chlorophyll-a (ug/L),Data qualifiers for Pheophytin-a,Pheophytin-a (ug/L),Data qualifiers for Anatoxin-a gene anaC,Anatoxin-a gene anaC (cp/100 mL),Data qualifiers for Saxitoxin gene sxtA,Saxitoxin gene sxtA (cp/100 mL),Data qualifiers for Cylindrospermopsin gene cyrA,Cylindrospermopsin gene cyrA (cp/100 mL),Data qualifiers for Microcystis mcyE toxin gene,Microcystis mcyE toxin gene (cp/100 mL),Data qualifiers for  Dolichospermum mcyE toxin gene, Dolichospermum mcyE toxin gene (cp/100 mL) ,Data qualifiers for Planktothrix mcyE toxin gene,Planktothrix mcyE toxin gene (cp/100 mL)
01184000,"Connecticut River at Thompsonville, CT",6/12/2018,1040,Regular,<,0.10,<,0.05,<,0.02,<,0.15,,5,,1.7,<,960,<,420,<,"1,100",<,390,<,"1,400",<,"1,500"
01184000,"Connecticut River at Thompsonville, CT",6/20/2018,1130,Regular,<,0.10,<,0.05,<,0.02,<,0.15,,3.6,,1.8,<,960,<,420,<,930,<,390,<,"1,400",<,"1,500"
01184000,"Connecticut River at Thompsonville, CT",7/11/2018,1100,Regular,<,0.10,<,0.05,<,0.02,<,0.15,,4,,1.5,<,960,<,420,E,"1,200",<,390,<,"1,400",<,"1,500"
01184000,"Connecticut River at Thompsonville, CT",7/25/2018,940,Regular,<,0.10,<,0.05,<,0.02,<,0.15,,8.5,,4.1,<,"1,900",,"3,800",E,"2,600",<,780,<,"2,800",<,"3,100"
01184000,"Connecticut River at Thompsonville, CT",7/25/2018,941,Field Replicate,<,0.10,<,0.05,<,0.02,<,0.15,,9.8,,4.7,<,"1,300",,"5,000",E,"1,500",,"3,800",<,"1,800",<,"2,000"
01184000,"Connecticut River at Thompsonville, CT",8/8/2018,1020,Regular,<,0.10,<,0.05,<,0.02,<,0.15,E,0.9,,1.1,<,960,E,"1,400",<,930,E,800,<,"1,400",<,"1,500"
01184000,"Connecticut River at Thompsonville, CT",8/22/2018,1000,Regular,<,0.10,<,0.05,<,0.02,<,0.15,E,0.8,,0.8,<,960,,"8,600",<,930,,"2,700",<,"1,400",<,"1,500"
01184000,"Connecticut River at Thompsonville, CT",9/5/2018,940,Regular,<,0.10,<,0.05,<,0.02,<,0.15,E,2.1,,0.6,,NM,,NM,,NM,,NM,,NM,,NM
01184000,"Connecticut River at Thompsonville, CT",9/5/2018,940,Laboratory Replicate,<,0.10,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM
01184000,"Connecticut River at Thompsonville, CT",10/17/2018,1050,Regular,<,0.10,<,0.05,<,0.02,<,0.15,E,0.5,,0.7,<,960,<,420,<,930,E,510,<,"1,400",<,"1,500"
01184000,"Connecticut River at Thompsonville, CT",10/17/2018,1050,Laboratory Replicate,<,0.10,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM
01463500,"Delaware River at Trenton, NJ",6/19/2018,1100,Regular,<,0.10,<,0.05,<,0.02,<,0.15,,4.2,,5.2,<,960,E,510,<,930,<,390,<,"1,400",<,"1,500"
01463500,"Delaware River at Trenton, NJ",7/31/2018,1200,Regular,<,0.10,<,0.05,<,0.02,<,0.15,E,1.6,,2.2,<,960,,"3,700",E,"1,300",<,390,<,"1,400",E,"2,500"
01463500,"Delaware River at Trenton, NJ",8/28/2018,1000,Regular,<,0.10,<,0.05,<,0.02,<,0.15,E,0.8,,0.6,<,960,<,420,<,930,E,540,<,"1,400",,"13,000"
01463500,"Delaware River at Trenton, NJ",8/28/2018,1000,Laboratory Replicate,<,0.10,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM
01463500,"Delaware River at Trenton, NJ",8/28/2018,1001,Field Replicate,<,0.10,<,0.05,<,0.02,<,0.15,E,0.8,,0.6,<,960,<,420,<,"1,100",E,860,<,"1,400",,"7,000"
01463500,"Delaware River at Trenton, NJ",8/28/2018,1001,Laboratory Replicate,<,0.10,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM
01463500,"Delaware River at Trenton, NJ",10/15/2018,1100,Regular,<,0.10,<,0.05,<,0.02,<,0.15,E,1.2,,1.7,<,960,E,"4,200",E,"1,200",,"5,300",<,"1,400",,"23,000"
01463500,"Delaware River at Trenton, NJ",10/15/2018,1100,Laboratory Replicate,<,0.10,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM
01578310,"Susquehanna River at Conowingo, MD",7/26/2018,945,Regular,<,0.10,<,0.05,<,0.02,<,0.15,,3.3,,12.6,<,"2,100",,"10,000",<,"2,100",,"8,500",<,"3,100",<,"3,400"
01578310,"Susquehanna River at Conowingo, MD",8/8/2018,730,Regular,<,0.10,<,0.05,<,0.02,<,0.15,,10.3,,5.5,<,"1,300",,"18,000",<,"1,400",,"3,200",<,"1,800",,"380,000"
01578310,"Susquehanna River at Conowingo, MD",10/10/2018,915,Regular,<,0.10,<,0.05,<,0.02,<,0.15,E,1.1,,1.2,<,960,,"13,000",<,"1,100",E,820,<,"1,400",,"66,000"
01578310,"Susquehanna River at Conowingo, MD",10/10/2018,915,Laboratory Replicate,<,0.10,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM
