Station_Number,Latitude_degree,Longitude_degree,First_Date,Last_Date
1,38.04,-121.84,19690522,19780615
2,38.063333,-121.851667,19691002,20151216
3,38.051667,-121.88,19690828,20151216
4,38.048333,-121.935,19690410,20151216
5,38.06,-121.98,19690410,20151216
6,38.065,-122.035,19690410,20151216
7,38.048333,-122.096667,19690410,20151216
8,38.03,-122.151667,19690410,20151216
9,38.056667,-122.185,19690411,20151216
10,38.06,-122.208333,19690411,20151216
11,38.06,-122.266667,19690411,20151216
12,38.051667,-122.311667,19690411,20151216
12.5,38.04,-122.315,19931207,20011016
13,38.028333,-122.37,19690411,20151216
14,38.006667,-122.405,19690411,20151216
15,37.973333,-122.436667,19690411,20151216
16,37.916667,-122.446667,19690411,20151216
17,37.878333,-122.421667,19690411,20151216
18,37.846667,-122.421667,19690411,20151216
19,37.818333,-122.471667,19690411,20151216
20,37.82,-122.393333,19690411,20151216
21,37.788333,-122.358333,19690411,20151216
22,37.765,-122.358333,19690411,20151216
23,37.728333,-122.336667,19690411,20151216
24,37.698333,-122.338333,19690411,20151216
24.5,37.685075,-122.333328,19840531,19840531
25,37.67,-122.325,19690522,20151216
25.5,37.6544,-122.319169,19840427,19840427
26,37.636667,-122.313333,19690411,20151216
26.5,37.626324,-122.302245,19820121,19840216
27,37.618333,-122.291667,19690522,20151216
27.5,37.60956,-122.281678,19830224,19830224
28,37.601667,-122.27,19690411,20151216
28.5,37.596667,-122.235,19910212,19950411
29,37.58,-122.245,19690522,20151216
29.5,37.568333,-122.21833,19910212,20151216
30,37.555,-122.19,19690411,20151216
30.5,37.542166,-122.177256,19840419,19840419
31,37.528333,-122.158333,19690411,20151216
31.5,37.522796,-122.145833,19820416,19820427
32,37.518333,-122.133333,19690522,20151216
33,37.508333,-122.121667,19690411,20151216
33.5,37.500692,-122.112337,19850321,19850321
34,37.495,-122.093333,19690411,20151216
35,37.48,-122.078333,19690411,20151216
36,37.471667,-122.066667,19690411,20151216
405,38.048333,-122.123333,19990817,20020122
407,38.071667,-122.093333,19990817,20020122
411,38.096667,-122.058333,19990817,20020122
649,38.06,-121.8,19800805,20151216
650,38.071667,-121.775,19841107,19880915
651,38.078333,-121.763333,19800109,19991110
652,38.086667,-121.746667,19770711,19841129
653,38.105,-121.72,19800206,20151216
654,38.105,-121.708333,19841107,19841107
655,38.121667,-121.701667,19800206,19881006
657,38.151667,-121.688333,19770711,20151216
659,38.178333,-121.666667,19770711,19771110
662,38.226667,-121.673333,19771110,19771110
,,,,
,,,,
