CL ID	"Latitude (Decimal Degrees, NAD83)"	"Longitude (Decimal Degrees, NAD83)"	Region	Location	"Time Period (Month, Year)"	NO3 (uM) (SUNA) SA raw	Water Temp (deg. C) (EXO) SA	Sp Cond (uS/cm) (EXO) SA	pH (EXO) SA	DO (mg/L) (EXO) SA	DO (%sat) (EXO) SA	Turb (FNU) (EXO) SA	fCHL (ug/L) (EXO) SA	fDOM (QSU) (EXO) SA	fCHL (ug/L) (WS) SA	fDOM (QSU) (WS) SA	Water Temp (deg. C) (TSG) SA	Cond (uS/cm) (TSG) SA	Salinity (PSU) (TSG) SA	Green Algae (ug/L) (FP) SA	Bluegreen (ug/L) (FP) SA	Diatoms (ug/L) (FP) SA	Cryptophyta (ug/L) (FP) SA	Total Conc (ug/L) (FP) SA	Green Algae (%) (FP) SA	Bluegreen (%) (FP) SA	Diatoms (%) (FP) SA	Cryptophyta (%) (FP) SA
A5616	37.993362	-121.512708	South Delta Tidal Transition Zone	Latham Slough	Jul-2024	4.44	26.19	145.97	7.73	8.23	101.83	2.98	2.76	28.28	5.63	28.89	26.33	151.7	0.07	7.70	8.11	1.82	0.02	18.30	42.02	47.27	10.32	0.07
A3284	38.170279	-121.49587	Mokelumne Tidal Transition Zone	South Mokelumne River	Jul-2024	9.33	24.06	120.72	7.45	7.76	92.33	9.56	3.10	17.61	5.62	18.69	23.97	119.4	0.06	6.04	5.84	1.81	0.00	13.69	44.06	42.76	13.21	0.00
A3246	38.209702	-121.489602	Mokelumne Tidal Transition Zone	South Mokelumne River	Jul-2024	8.93	23.17	115.54	7.36	7.71	90.21	8.65	2.91	16.78	5.17	17.83	23.21	111.8	0.06	5.60	5.71	1.79	0.00	13.10	42.71	43.67	13.64	0.00
A3129	38.228413	-121.493868	Mokelumne Tidal Transition Zone	Dead Horse Cut	Jul-2024	9.81	22.51	117.35	7.41	8.17	94.12	6.00	1.55	14.69	3.04	15.16	22.51	112.2	0.06	3.45	5.06	1.02	0.00	9.52	36.10	53.22	10.66	0.00
A3137	38.224314	-121.506121	Mokelumne Tidal Transition Zone	North Mokelumne River	Jul-2024	9.92	22.37	117.70	7.40	8.05	92.73	6.46	1.48	14.62	2.95	15.09	22.39	112.2	0.06	2.80	4.60	0.98	0.00	8.38	32.69	55.63	11.72	0.00
A3131	38.227523	-121.496661	Mokelumne Tidal Transition Zone	North Mokelumne River	Jul-2024	9.65	22.53	117.30	7.41	8.14	94.16	5.83	1.57	14.86	2.99	15.41	22.56	112.1	0.06	3.54	5.01	1.04	0.00	9.58	36.57	52.62	10.85	0.00
A3229	38.227253	-121.492263	Mokelumne Tidal Transition Zone	South Mokelumne River	Jul-2024	9.83	22.55	117.26	7.40	8.08	93.29	6.36	1.68	14.86	3.20	15.45	22.56	112.2	0.06	3.62	5.07	1.06	0.00	9.74	37.02	52.09	10.85	0.00
A3130	38.227503	-121.494888	Mokelumne Tidal Transition Zone	North Mokelumne River	Jul-2024	9.73	22.54	117.28	7.40	8.12	93.87	6.01	1.61	14.85	3.06	15.43	22.56	112.1	0.06	3.57	5.04	1.04	0.00	9.65	36.83	52.38	10.79	0.00
A3288	38.165302	-121.492463	Mokelumne Tidal Transition Zone	South Mokelumne River	Jul-2024	9.73	23.96	122.66	7.45	7.78	92.33	9.06	2.72	17.66	4.91	18.68	23.90	121.8	0.06	5.44	5.70	1.63	0.00	12.80	42.59	44.66	12.77	0.00
A3289	38.164094	-121.492975	Mokelumne Tidal Transition Zone	South Mokelumne River	Jul-2024	9.73	23.96	122.66	7.45	7.78	92.33	9.06	2.72	17.66	4.91	18.68	23.90	121.8	0.06	5.44	5.70	1.63	0.00	12.80	42.59	44.66	12.77	0.00
A3264	38.192781	-121.480885	Mokelumne Tidal Transition Zone	South Mokelumne River	Jul-2024	9.22	23.46	116.70	7.40	7.74	91.02	11.09	3.04	18.89	5.48	20.49	23.71	114.7	0.06	6.12	6.20	2.05	0.00	14.39	42.45	43.37	14.19	0.00
A3263	38.193733	-121.479366	Mokelumne Tidal Transition Zone	South Mokelumne River	Jul-2024	9.43	23.30	115.74	7.40	7.71	90.42	10.51	2.68	18.20	4.90	19.55	23.50	113.4	0.06	5.43	5.96	1.78	0.00	13.17	41.07	45.54	13.40	0.00
A3269	38.187006	-121.485777	Mokelumne Tidal Transition Zone	South Mokelumne River	Jul-2024	8.66	23.93	118.11	7.43	7.84	93.01	10.50	3.69	18.67	6.49	19.95	24.12	116.5	0.06	7.31	6.43	2.42	0.00	16.16	45.21	39.81	14.97	0.00
A3265	38.191435	-121.48154	Mokelumne Tidal Transition Zone	South Mokelumne River	Jul-2024	9.09	23.56	117.18	7.40	7.76	91.42	11.21	3.23	19.10	5.76	20.79	23.82	115.3	0.06	6.48	6.29	2.17	0.00	14.95	43.25	42.28	14.46	0.00
A3272	38.183194	-121.488291	Mokelumne Tidal Transition Zone	South Mokelumne River	Jul-2024	8.47	24.12	118.55	7.45	7.87	93.73	10.14	3.83	18.48	6.82	19.80	24.21	117.3	0.06	7.60	6.45	2.55	0.00	16.55	45.75	38.94	15.32	0.00
A3271	38.184363	-121.487177	Mokelumne Tidal Transition Zone	South Mokelumne River	Jul-2024	8.55	24.05	118.31	7.44	7.86	93.53	10.20	3.78	18.48	6.69	19.70	24.19	116.9	0.06	7.50	6.45	2.50	0.00	16.42	45.57	39.23	15.20	0.00
A3275	38.180766	-121.492282	Mokelumne Tidal Transition Zone	South Mokelumne River	Jul-2024	8.40	24.19	118.85	7.45	7.85	93.65	10.43	3.87	18.50	6.95	19.83	24.22	117.7	0.06	7.64	6.42	2.52	0.00	16.57	46.03	38.80	15.19	0.00
A3280	38.175831	-121.497466	Mokelumne Tidal Transition Zone	South Mokelumne River	Jul-2024	8.86	24.19	119.51	7.45	7.79	92.83	10.33	3.65	18.18	6.61	19.42	24.13	118.3	0.06	7.03	6.16	2.21	0.00	15.40	45.61	40.10	14.33	0.00
A3270	38.185609	-121.486265	Mokelumne Tidal Transition Zone	South Mokelumne River	Jul-2024	8.55	24.05	118.31	7.44	7.86	93.53	10.20	3.78	18.48	6.69	19.70	24.19	116.9	0.06	7.50	6.45	2.50	0.00	16.42	45.57	39.23	15.20	0.00
A3273	38.181926	-121.489273	Mokelumne Tidal Transition Zone	South Mokelumne River	Jul-2024	8.47	24.12	118.55	7.45	7.87	93.73	10.14	3.83	18.48	6.82	19.80	24.21	117.3	0.06	7.60	6.45	2.55	0.00	16.55	45.75	38.94	15.32	0.00
A3286	38.167596	-121.494231	Mokelumne Tidal Transition Zone	South Mokelumne River	Jul-2024	9.62	23.97	122.32	7.45	7.77	92.29	9.37	2.83	17.69	5.12	18.69	23.90	121.3	0.06	5.56	5.74	1.67	0.00	12.98	42.82	44.34	12.85	0.00
A3279	38.177268	-121.497548	Mokelumne Tidal Transition Zone	South Mokelumne River	Jul-2024	8.86	24.19	119.51	7.45	7.79	92.83	10.33	3.65	18.18	6.61	19.42	24.13	118.3	0.06	7.03	6.16	2.21	0.00	15.40	45.61	40.10	14.33	0.00
A3281	38.174441	-121.497015	Mokelumne Tidal Transition Zone	South Mokelumne River	Jul-2024	9.00	24.15	119.86	7.45	7.77	92.54	10.05	3.45	17.98	6.30	19.27	24.07	118.6	0.06	6.67	6.03	2.06	0.00	14.76	45.16	40.96	13.93	0.00
A3274	38.181006	-121.490418	Mokelumne Tidal Transition Zone	South Mokelumne River	Jul-2024	8.45	24.17	118.83	7.45	7.86	93.66	10.25	3.82	18.45	6.85	19.83	24.21	117.6	0.06	7.57	6.41	2.51	0.00	16.46	45.86	38.99	15.17	0.00
A3267	38.189265	-121.483799	Mokelumne Tidal Transition Zone	South Mokelumne River	Jul-2024	8.85	23.76	117.81	7.41	7.80	92.21	11.00	3.51	19.04	6.19	20.57	24.00	116.1	0.06	6.99	6.39	2.32	0.00	15.72	44.46	40.77	14.76	0.00
A3276	38.179899	-121.493934	Mokelumne Tidal Transition Zone	South Mokelumne River	Jul-2024	8.40	24.19	118.85	7.45	7.85	93.65	10.43	3.87	18.50	6.95	19.83	24.22	117.7	0.06	7.64	6.42	2.52	0.00	16.57	46.03	38.80	15.19	0.00
A3282	38.173017	-121.496927	Mokelumne Tidal Transition Zone	South Mokelumne River	Jul-2024	9.17	24.11	120.31	7.45	7.76	92.35	9.78	3.28	17.82	5.97	19.06	24.02	119.0	0.06	6.35	5.92	1.93	0.00	14.21	44.64	41.81	13.58	0.00
A3266	38.19017	-121.482397	Mokelumne Tidal Transition Zone	South Mokelumne River	Jul-2024	8.95	23.66	117.50	7.41	7.78	91.80	11.12	3.38	19.11	5.99	20.71	23.91	115.7	0.06	6.72	6.36	2.24	0.00	15.34	43.78	41.60	14.62	0.00
A3268	38.188462	-121.485242	Mokelumne Tidal Transition Zone	South Mokelumne River	Jul-2024	8.72	23.84	117.96	7.42	7.82	92.62	10.75	3.62	18.88	6.37	20.24	24.07	116.3	0.06	7.17	6.43	2.38	0.00	15.99	44.83	40.28	14.88	0.00
A3283	38.171575	-121.496481	Mokelumne Tidal Transition Zone	South Mokelumne River	Jul-2024	9.30	24.07	120.91	7.45	7.76	92.28	9.59	3.13	17.75	5.69	18.88	23.98	119.6	0.06	6.06	5.85	1.83	0.00	13.74	44.04	42.66	13.30	0.00
A3278	38.178163	-121.496242	Mokelumne Tidal Transition Zone	South Mokelumne River	Jul-2024	8.65	24.21	119.20	7.46	7.81	93.16	10.53	3.82	18.37	6.86	19.56	24.17	118.1	0.06	7.34	6.29	2.36	0.00	16.01	45.89	39.37	14.76	0.00
A3277	38.178896	-121.495001	Mokelumne Tidal Transition Zone	South Mokelumne River	Jul-2024	8.61	24.20	119.14	7.45	7.82	93.28	10.46	3.78	18.36	6.84	19.61	24.18	118.0	0.06	7.38	6.30	2.39	0.00	16.08	45.90	39.33	14.81	0.00
A3285	38.168906	-121.495217	Mokelumne Tidal Transition Zone	South Mokelumne River	Jul-2024	9.48	24.01	121.42	7.45	7.76	92.29	9.41	2.95	17.60	5.35	18.59	23.93	120.2	0.06	5.77	5.77	1.73	0.00	13.29	43.44	43.55	13.02	0.00
A918	38.08359	-122.039984	Suisun Bay	Suisun Bay	Jul-2024	12.71	22.12	14511.58	7.71	7.78	93.63	26.88	2.49	25.99	4.13	29.49	22.19	13298.1	8.15	3.27	6.17	2.17	0.00	11.59	28.19	53.00	18.78	0.00
A1191	38.072447	-121.948614	Suisun Bay	Honker Bay	Jul-2024	10.33	22.50	6876.32	7.89	8.35	98.49	14.97	2.31	23.07	3.85	25.55	22.55	6434.3	3.70	3.30	5.24	2.12	0.00	10.66	30.95	49.27	19.82	0.00
A828	38.049287	-121.881094	Western Delta Tidal Transition Zone	Sacramento River	Jul-2024	8.76	22.71	3010.97	7.77	8.11	94.90	13.97	1.75	19.81	3.12	21.76	22.72	2821.7	1.54	2.11	5.00	1.59	0.00	8.69	24.24	57.38	18.40	0.03
