CL ID	"Latitude (Decimal Degrees, NAD83)"	"Longitude (Decimal Degrees, NAD83)"	Region	Location	"Time Period (Month, Year)"	NO3 (uM) (SUNA) SA raw	Water Temp (deg. C) (EXO) SA	Sp Cond (uS/cm) (EXO) SA	pH (EXO) SA	DO (mg/L) (EXO) SA	DO (%sat) (EXO) SA	Turb (FNU) (EXO) SA	fCHL (ug/L) (EXO) SA	fDOM (QSU) (EXO) SA	fCHL (ug/L) (WS) SA	fDOM (QSU) (WS) SA	Water Temp (deg. C) (TSG) SA	Cond (uS/cm) (TSG) SA	Salinity (PSU) (TSG) SA	Green Algae (ug/L) (FP) SA	Bluegreen (ug/L) (FP) SA	Diatoms (ug/L) (FP) SA	Cryptophyta (ug/L) (FP) SA	Total Conc (ug/L) (FP) SA	Green Algae (%) (FP) SA	Bluegreen (%) (FP) SA	Diatoms (%) (FP) SA	Cryptophyta (%) (FP) SA
A5616	37.99336	-121.51271	South Delta Tidal Transition Zone	Latham Slough	May-2024	20.27	18.32	316.15	7.89	10.02	106.63	4.48	2.41	43.31	3.92	48.57	18.33	279.7	0.15	0.71	2.55	1.19	0.77	5.25	13.60	48.78	22.40	15.20
A4097	38.16620	-121.49140	Mokelumne Tidal Transition Zone	Hog Slough	May-2024	6.67	16.48	102.54	7.49	10.02	102.54	4.89	1.04	20.19	1.75	22.02	16.46	80.4	0.05	0.06	2.41	0.50	0.15	3.14	1.31	79.34	14.31	5.03
A3284	38.17028	-121.49587	Mokelumne Tidal Transition Zone	South Mokelumne River	May-2024	6.82	16.19	89.67	7.31	10.15	103.22	5.99	0.93	18.99	1.50	20.74	16.21	74.8	0.05	0.00	2.55	0.11	0.03	2.72	0.09	94.81	3.84	1.22
A3246	38.20970	-121.48960	Mokelumne Tidal Transition Zone	South Mokelumne River	May-2024	6.95	15.47	87.89	7.22	9.83	98.52	7.58	0.97	20.66	1.47	22.94	15.51	72.4	0.04	0.00	2.60	0.26	0.00	2.88	0.00	90.70	9.13	0.06
A3129	38.22841	-121.49387	Mokelumne Tidal Transition Zone	Dead Horse Cut	May-2024	7.80	15.93	88.09	7.28	9.54	96.50	10.44	1.29	21.76	2.23	24.63	15.94	73.6	0.04	0.49	2.77	0.33	0.35	3.97	9.03	74.03	6.93	9.53
A3137	38.22431	-121.50612	Mokelumne Tidal Transition Zone	North Mokelumne River	May-2024	9.39	16.16	87.96	7.23	9.43	95.93	12.74	1.16	23.26	1.91	26.63	16.19	73.9	0.04	0.03	3.30	0.37	0.02	3.75	0.50	89.06	9.95	0.47
A3131	38.22752	-121.49666	Mokelumne Tidal Transition Zone	North Mokelumne River	May-2024	7.81	15.90	87.73	7.27	9.36	94.56	9.65	1.16	21.29	1.97	23.95	15.92	73.2	0.04	0.27	2.82	0.39	0.19	3.67	5.13	80.05	10.33	4.75
A3229	38.22725	-121.49226	Mokelumne Tidal Transition Zone	South Mokelumne River	May-2024	7.24	15.75	87.34	7.28	9.87	99.42	8.67	1.07	20.61	1.82	23.19	15.75	72.6	0.04	0.23	2.68	0.31	0.20	3.43	4.14	81.27	7.93	6.24
A3130	38.22750	-121.49489	Mokelumne Tidal Transition Zone	North Mokelumne River	May-2024	7.51	15.83	87.56	7.28	9.59	96.73	9.12	1.12	20.94	1.91	23.54	15.84	72.9	0.04	0.26	2.75	0.35	0.20	3.57	4.91	80.37	9.18	5.49
A4118	38.16938	-121.45668	Mokelumne Tidal Transition Zone	Hog Slough	May-2024	2.89	18.61	311.03	8.41	9.68	103.49	2.36	3.64	39.36	6.20	44.40	18.60	275.5	0.15	3.81	2.47	2.32	1.52	10.01	37.72	24.63	23.04	15.27
A4113	38.16891	-121.46544	Mokelumne Tidal Transition Zone	Hog Slough	May-2024	3.14	18.15	259.53	8.07	10.05	106.39	3.51	3.17	38.08	5.28	42.95	18.14	230.3	0.13	2.58	2.72	2.65	1.18	9.12	27.46	30.23	29.25	13.09
A4115	38.16956	-121.46216	Mokelumne Tidal Transition Zone	Hog Slough	May-2024	2.86	18.40	285.20	8.24	9.93	105.70	2.86	3.50	38.80	5.87	43.71	18.41	254.5	0.14	3.38	2.71	2.76	1.19	9.97	33.43	27.34	27.59	12.09
A4116	38.16932	-121.46031	Mokelumne Tidal Transition Zone	Hog Slough	May-2024	2.86	18.40	285.20	8.24	9.93	105.70	2.86	3.50	38.80	5.87	43.71	18.41	254.5	0.14	3.38	2.71	2.76	1.19	9.97	33.43	27.34	27.59	12.09
A4111	38.16861	-121.46900	Mokelumne Tidal Transition Zone	Hog Slough	May-2024	3.67	17.95	240.01	7.93	9.92	104.63	4.19	2.84	37.30	4.71	42.22	17.93	209.3	0.12	1.82	2.64	2.40	1.17	8.00	22.08	33.24	30.12	14.55
A4112	38.16839	-121.46720	Mokelumne Tidal Transition Zone	Hog Slough	May-2024	3.40	18.04	249.15	7.99	10.00	105.71	3.85	2.99	37.70	4.98	42.59	18.02	219.1	0.12	2.16	2.68	2.52	1.19	8.53	24.49	31.75	29.71	14.04
A4117	38.16927	-121.45863	Mokelumne Tidal Transition Zone	Hog Slough	May-2024	2.84	18.52	299.30	8.34	9.80	104.65	2.57	3.60	39.11	6.08	44.08	18.52	266.1	0.15	3.66	2.60	2.57	1.34	10.08	35.98	25.83	25.39	13.39
A4108	38.16748	-121.47374	Mokelumne Tidal Transition Zone	Hog Slough	May-2024	4.60	17.70	214.09	7.77	9.68	101.67	5.10	2.62	36.12	4.33	41.20	17.71	187.7	0.11	1.29	2.57	2.46	1.04	7.31	17.57	34.71	33.60	14.05
A4104	38.16517	-121.48040	Mokelumne Tidal Transition Zone	Hog Slough	May-2024	5.71	17.23	165.21	7.61	9.68	100.61	5.55	2.22	30.43	3.68	35.03	17.27	145.1	0.08	0.96	2.51	2.38	0.75	6.63	13.74	40.22	35.53	10.87
A4114	38.16907	-121.46373	Mokelumne Tidal Transition Zone	Hog Slough	May-2024	2.95	18.27	271.66	8.16	10.03	106.52	3.16	3.35	38.46	5.60	43.33	18.28	242.4	0.13	3.01	2.76	2.79	1.13	9.66	30.46	28.90	28.97	11.90
A4105	38.16568	-121.47868	Mokelumne Tidal Transition Zone	Hog Slough	May-2024	5.53	17.36	177.47	7.64	9.65	100.64	5.62	2.42	32.44	3.97	37.55	17.42	159.5	0.09	1.09	2.52	2.62	0.89	7.14	15.10	36.17	36.81	12.22
A4121	38.17102	-121.45188	Mokelumne Tidal Transition Zone	Hog Slough	May-2024	2.93	18.76	331.59	8.55	9.55	102.41	1.96	3.72	39.91	6.42	45.05	18.75	293.7	0.16	4.09	2.25	1.85	1.85	9.97	40.84	22.52	18.47	18.65
A4101	38.16611	-121.48508	Mokelumne Tidal Transition Zone	Hog Slough	May-2024	6.08	16.90	136.97	7.56	9.76	100.81	5.16	1.64	25.54	2.76	28.42	16.86	110.0	0.06	0.55	2.46	1.50	0.38	4.93	9.04	55.66	27.84	7.51
A4109	38.16836	-121.47238	Mokelumne Tidal Transition Zone	Hog Slough	May-2024	4.40	17.75	219.40	7.80	9.71	102.07	4.92	2.61	36.27	4.34	41.27	17.74	190.5	0.11	1.34	2.60	2.36	1.03	7.28	18.11	35.68	32.22	13.90
A4122	38.17154	-121.45014	Mokelumne Tidal Transition Zone	Hog Slough	May-2024	2.86	18.79	334.71	8.57	9.54	102.39	1.87	3.77	40.01	6.51	45.14	18.79	296.5	0.16	4.21	2.26	1.92	1.83	10.12	41.65	22.16	18.60	18.19
A4106	38.16634	-121.47695	Mokelumne Tidal Transition Zone	Hog Slough	May-2024	5.21	17.51	192.98	7.68	9.63	100.66	5.56	2.53	34.31	4.16	39.59	17.55	172.2	0.10	1.16	2.55	2.62	0.95	7.28	15.95	35.27	35.90	12.98
A4107	38.16689	-121.47539	Mokelumne Tidal Transition Zone	Hog Slough	May-2024	4.93	17.61	203.77	7.72	9.63	100.97	5.38	2.58	35.38	4.25	40.61	17.64	180.3	0.10	1.21	2.56	2.55	1.00	7.28	16.64	34.85	34.92	13.56
A4119	38.17023	-121.45524	Mokelumne Tidal Transition Zone	Hog Slough	May-2024	2.95	18.68	322.13	8.48	9.61	102.90	2.16	3.66	39.67	6.29	44.76	18.67	285.3	0.16	3.93	2.32	1.99	1.74	9.90	39.25	23.53	20.03	17.63
A4102	38.16551	-121.48358	Mokelumne Tidal Transition Zone	Hog Slough	May-2024	5.90	17.08	151.56	7.60	9.71	100.67	5.35	1.96	28.08	3.27	31.90	17.09	127.9	0.07	0.78	2.48	2.01	0.58	5.88	11.74	46.23	32.95	9.38
A4110	38.16897	-121.47075	Mokelumne Tidal Transition Zone	Hog Slough	May-2024	4.02	17.85	229.78	7.86	9.80	103.23	4.57	2.70	36.85	4.49	41.80	17.83	199.7	0.11	1.53	2.61	2.34	1.11	7.54	19.75	34.71	31.06	14.46
A4099	38.16713	-121.48799	Mokelumne Tidal Transition Zone	Hog Slough	May-2024	6.30	16.75	123.95	7.54	9.83	101.23	4.91	1.37	23.30	2.33	25.59	16.69	95.6	0.06	0.34	2.43	1.07	0.26	4.13	5.86	64.53	23.31	6.28
A4098	38.16679	-121.48981	Mokelumne Tidal Transition Zone	Hog Slough	May-2024	6.50	16.61	112.17	7.53	9.92	101.83	4.76	1.17	21.50	1.99	23.42	16.56	86.0	0.05	0.17	2.41	0.75	0.19	3.55	3.24	72.09	19.14	5.50
A4120	38.17042	-121.45360	Mokelumne Tidal Transition Zone	Hog Slough	May-2024	2.97	18.72	327.54	8.52	9.57	102.56	2.06	3.68	39.80	6.34	44.92	18.71	290.1	0.16	3.99	2.25	1.86	1.84	9.87	40.01	22.98	18.79	18.63
A4103	38.16475	-121.48197	Mokelumne Tidal Transition Zone	Hog Slough	May-2024	5.71	17.23	165.21	7.61	9.68	100.61	5.55	2.22	30.43	3.68	35.03	17.27	145.1	0.08	0.96	2.51	2.38	0.75	6.63	13.74	40.22	35.53	10.87
