"DWR_Site","EMP_Site","Lat","Lon","RepCont","Collection_Date","Collection_Month","Collection_ID","Survey_Year","field.PST","field.Water.temp","field.DO.mgL","field.DO.perc","field.Secchi","field.SC.uScm","field.Salinity","field.NTU","field.pH","field.Chla","field.Fluor","bryte.NH4.mgL","bryte.NO3.mgL","bryte.Chloride.mgL","bryte.Calcium.mgL","bryte.DOC.mgL","bryte.TOC.mgL","bryte.DON.mgL","bryte.total.kjeldahl.n.mgL","bryte.SRP.mgL","bryte.TP.mgL","bryte.SiO2.mgL","bryte.VSS.mgL","bryte.TDS.mgL","bryte.TSS.mgL","bryte.amb.Chla.ugL","bryte.amb.Pheo.ugL","bryte.towNet.Chla.ave.ugL","bryte.towNet.Chla.corrected","bryte.towNet.Pheo.uncorrected","bryte.towNet.Pheo.corrected","dwr.MIC_totbvL","ucd.qpcr.total.MIC","ucd.qpcr.toxin.MIC","ucd.qpcr.DOLICO","ucd.qpcr.APHA","ucd.qpcr.total.CYA","ucd.ppia.MC.total.ugL","ucd.elisa.STX.dissolved.ugL","ucd.elisa.ANA.a.dissolved.ugL"
"AT","D12",38.0232,-121.8071,0,"2014-07-14",7,1,2014,1440,22.63,7.96,92.9,NA,2910,1.49,15.1,8.17,2.5,NA,0,0.3,781,NA,2.4,2.7,0.3,NA,0.08,0.12,13.6,2,1639,15,NA,NA,5117.5,2.996763405,53.4,0.01691,6.46e+10,261758,173314,948,2850,558029,1.54,0,0
"BI","",38.1159,-121.6845,0,"2014-07-14",7,1,2014,1409,23.6,8.21,97,NA,728,0.34,8.7,7.87,1.8,NA,0,0.22,156,NA,2.4,2.5,0.3,NA,0.07,0.13,13.7,1,409,7,NA,NA,6986.5,10.08809892,22.25,0.03571,3.16e+11,36900,27696,3122,3660,383808,4.02,0,0
"CV","D4",38.0602,-121.824,0,"2014-07-14",7,1,2014,1453,22.23,8.16,95.5,NA,6013,3.25,18.5,7.73,1.8,NA,0.03,0.36,1675,NA,2.5,2.6,0.4,NA,0.09,0.13,13.4,3,13648,23,NA,NA,1913.5,1.289885534,80.1,0.03693,4.18e+10,4090,4558,1681,1460,282705,0.36,0,0
"FT","D19",38.0468,-121.6192,0,"2014-07-14",7,1,2014,1325,24,9.89,117.2,NA,792,0.37,5,8.44,1.8,NA,0,0.12,175,NA,2.8,2.9,0.3,NA,0.08,0.09,11.2,0,453,2,NA,NA,4076.2,2.482772338,297.26,0.1642,1.29e+11,74200,98418,215653,23800,1255188,2.61,0,0
"JP","",38.0517,-121.6953,0,"2014-07-14",7,1,2014,1400,23.96,8.15,96.8,NA,1148,0.55,9.2,8.23,2.2,NA,0.02,0.28,207,NA,2.3,2.3,0.5,NA,0.08,0.1,13.8,2,509,9,NA,NA,8633,4.496858592,89,0.07591,4.89e+10,17600,15189,52427,9010,395713,4.06,0,0
"MI","",37.9952,-121.5222,0,"2014-07-14",7,1,2014,1250,24.78,8.32,100.6,NA,471,0.21,2,8.39,3.1,NA,0.02,0.07,84,NA,3.2,3.4,0.3,NA,0.08,0.12,10.5,1,266,2,NA,NA,9389.5,18.87824591,142.4,0.21362,7.36e+11,1645390,1428211,451324,60400,3401267,11.34,0,0
"OR","D28A",37.9706,-121.5725,0,"2014-07-14",7,1,2014,1143,24.63,7.16,86.2,NA,677,0.31,5.8,7.73,1.7,NA,0,0.05,136,NA,3.4,3.4,0.4,NA,0.1,0.14,7.7,2.5,370,NA,NA,NA,8900,2.762557987,1691,0.28783,5.44e+10,62700,19986,102618,28339,652042,1.9,0,0
"ORrep","",37.9706,-121.5725,1,"2014-07-14",7,1,2014,1208,24.8,7.16,86.5,NA,672,0.31,5.2,7.71,211,NA,0,0.05,138,NA,3.5,3.6,0.4,NA,0.1,0.13,7.8,1,373,4,NA,NA,5816.79,2.426181341,123.96,NA,4.93e+09,130000,47177,43740,83500,654034,2.06,0,0
"RR","P8",37.9633,-121.3663,0,"2014-07-14",7,1,2014,1045,26.21,6.61,92.4,NA,1027,0.49,2,7.81,3.2,NA,0.02,1.02,212,NA,4.2,4.5,0.6,NA,0.3,0.41,10.8,2,554,5,NA,NA,7502.7,28.39101156,66.75,0.11477,4.67e+11,2020000,141161,121948,75324,5749143,33.28,0,0
"SJ","",38.0347,-121.4834,0,"2014-07-14",7,1,2014,1200,24.74,6.6,79.4,NA,375,0.17,3.1,7.79,2.5,NA,0.01,0.14,59,NA,2.9,3.1,0.4,NA,0.08,0.13,11.4,1,213,5,NA,NA,2411.9,3.891894101,36.49,0.47237,9.56e+10,42900,6211,30586,21100,435619,1.11,0,0
